TP05
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                8388613,        "101",  ,       ,       789.206638,     "",    1                                                                                        2-04-2022/09:40:47.0    ,       MEAS;
                8388616,        "102",    412783.876671,  7620390.912412, 788.9079                                                                                        93,     "",     12-04-2022/10:03:17.0   ,       MEAS;
                8388617,        "103",    412783.957434,  7620390.902839, 788.9095                                                                                        15,     "",     12-04-2022/10:04:44.0   ,       MEAS;
                8388618,        "104",    412762.879834,  7620385.085063, 788.6746                                                                                        91,     "",     12-04-2022/10:06:34.0   ,       MEAS;
                8388619,        "105",    412762.802391,  7620384.991335, 788.6570                                                                                        77,     "",     12-04-2022/10:07:04.0   ,       MEAS;
                8388620,        "106",    412739.645680,  7620375.883828, 789.0224                                                                                        06,     "",     12-04-2022/10:08:08.0   ,       MEAS;
                8388621,        "107",    412739.642900,  7620375.828383, 788.9758                                                                                        91,     "",     12-04-2022/10:08:51.0   ,       MEAS;
                8388622,        "108",    412715.788014,  7620365.264010, 789.4679                                                                                        16,     "",     12-04-2022/10:10:09.0   ,       MEAS;
                8388623,        "109",    412715.797388,  7620365.212142, 789.4473                                                                                        94,     "",     12-04-2022/10:10:35.0   ,       MEAS;
                8388624,        "110",    412693.412987,  7620357.989629, 789.6357                                                                                        32,     "",     12-04-2022/10:11:44.0   ,       MEAS;
                8388625,        "111",    412693.439057,  7620358.071160, 789.6127                                                                                        90,     "",     12-04-2022/10:12:41.0   ,       MEAS;
                8388626,        "112",    412666.642878,  7620347.215069, 790.2584                                                                                        90,     "",     12-04-2022/10:13:53.0   ,       MEAS;
                8388627,        "113",    412666.655845,  7620347.206685, 790.2419                                                                                        17,     "",     12-04-2022/10:14:41.0   ,       MEAS;
                8388628,        "114",    412645.447022,  7620336.562515, 790.8974                                                                                        54,     "",     12-04-2022/10:18:29.0   ,       MEAS;
                8388629,        "115",    412645.489819,  7620336.580211, 790.8959                                                                                        71,     "",     12-04-2022/10:19:05.0   ,       MEAS;
                8388630,        "116",    412647.743698,  7620328.345747, 790.7836                                                                                        06,     "",     12-04-2022/10:21:31.0   ,       MEAS;
                8388631,        "117",    412647.811646,  7620328.387638, 790.6987                                                                                        87,     "",     12-04-2022/10:22:18.0   ,       MEAS;
                8388632,        "118",    412670.218698,  7620338.399417, 790.3139                                                                                        39,     "",     12-04-2022/10:24:24.0   ,       MEAS;
                8388633,        "119",    412670.275733,  7620338.405511, 790.2900                                                                                        26,     "",     12-04-2022/10:24:49.0   ,       MEAS;
                8388634,        "120",    412696.060806,  7620348.787773, 789.7094                                                                                        12,     "",     12-04-2022/10:26:02.0   ,       MEAS;
                8388635,        "121",    412696.071258,  7620348.721115, 789.6670                                                                                        59,     "",     12-04-2022/10:26:23.0   ,       MEAS;
                8388636,        "122",    412717.842933,  7620358.649188, 789.4515                                                                                        02,     "",     12-04-2022/10:27:23.0   ,       MEAS;
                8388637,        "123",    412717.884335,  7620358.636145, 789.4180                                                                                        84,     "",     12-04-2022/10:27:47.0   ,       MEAS;
                8388638,        "124",    412740.932602,  7620369.254713, 789.0416                                                                                        02,     "",     12-04-2022/10:28:35.0   ,       MEAS;
                8388639,        "125",    412740.980260,  7620369.273535, 789.0149                                                                                        81,     "",     12-04-2022/10:29:04.0   ,       MEAS;
                8388640,        "126",    412763.738314,  7620378.820458, 788.9951                                                                                        57,     "",     12-04-2022/10:30:33.0   ,       MEAS;
                8388641,        "127",    412763.693365,  7620378.817111, 788.9809                                                                                        52,     "",     12-04-2022/10:31:09.0   ,       MEAS;
                8388642,        "128",    412765.724846,  7620374.841943, 788.8022                                                                                        50,     "",     12-04-2022/10:39:13.0   ,       MEAS;
                8388643,        "129",    412765.754797,  7620374.779797, 788.7709                                                                                        35,     "",     12-04-2022/10:39:49.0   ,       MEAS;
                8388644,        "130",    412743.486189,  7620363.206058, 789.2775                                                                                        56,     "",     12-04-2022/10:40:52.0   ,       MEAS;
                8388645,        "131",    412743.535135,  7620363.202418, 789.2592                                                                                        94,     "",     12-04-2022/10:41:15.0   ,       MEAS;
                8388646,        "132",    412720.912811,  7620352.898836, 789.3225                                                                                        34,     "",     12-04-2022/10:41:51.0   ,       MEAS;
                8388647,        "133",    412721.059462,  7620352.793821, 789.2660                                                                                        36,     "",     12-04-2022/10:42:14.0   ,       MEAS;
                8388648,        "134",    412697.622983,  7620343.518659, 789.7336                                                                                        91,     "",     12-04-2022/10:43:34.0   ,       MEAS;
                8388649,        "135",    412697.620307,  7620343.436415, 789.6900                                                                                        52,     "",     12-04-2022/10:44:00.0   ,       MEAS;
                8388650,        "136",    412672.213696,  7620334.753290, 790.4037                                                                                        88,     "",     12-04-2022/10:45:22.0   ,       MEAS;
                8388651,        "137",    412672.119981,  7620334.776030, 790.3425                                                                                        12,     "",     12-04-2022/10:45:58.0   ,       MEAS;
                8388652,        "138",    412651.965314,  7620320.893452, 790.7872                                                                                        75,     "",     12-04-2022/10:46:52.0   ,       MEAS;
                8388653,        "139",    412651.996812,  7620320.929274, 790.7428                                                                                        80,     "",     12-04-2022/10:47:19.0   ,       MEAS;
                8388654,        "140",    412928.044306,  7620465.351959, 789.2257                                                                                        02,     "",     12-04-2022/11:12:32.0   ,       MEAS;
                8388655,        "141",    412928.026744,  7620465.335400, 789.2081                                                                                        59,     "",     12-04-2022/11:13:59.0   ,       MEAS;
                8388656,        "142",    412908.700078,  7620455.518706, 789.3022                                                                                        92,     "",     12-04-2022/11:14:49.0   ,       MEAS;
                8388657,        "143",    412908.516991,  7620455.422992, 789.3040                                                                                        64,     "",     12-04-2022/11:15:58.0   ,       MEAS;
                8388658,        "144",    412886.329401,  7620445.543950, 788.9589                                                                                        10,     "",     12-04-2022/11:17:47.0   ,       MEAS;
                8388659,        "145",    412886.289183,  7620445.495251, 788.9130                                                                                        50,     "",     12-04-2022/11:18:13.0   ,       MEAS;
                8388660,        "146",    412864.498060,  7620429.272157, 789.3459                                                                                        07,     "",     12-04-2022/11:19:51.0   ,       MEAS;
                8388661,        "147",    412864.512088,  7620429.269273, 789.3272                                                                                        19,     "",     12-04-2022/11:20:13.0   ,       MEAS;
                8388662,        "148",    412841.742734,  7620418.941019, 789.2049                                                                                        17,     "",     12-04-2022/11:21:24.0   ,       MEAS;
                8388663,        "149",    412841.760102,  7620418.928250, 789.1787                                                                                        74,     "",     12-04-2022/11:21:45.0   ,       MEAS;
                8388664,        "150",    412820.257700,  7620407.626499, 789.2286                                                                                        83,     "",     12-04-2022/11:23:13.0   ,       MEAS;
                8388665,        "151",    412820.258512,  7620407.628696, 789.2026                                                                                        57,     "",     12-04-2022/11:23:26.0   ,       MEAS;
                8388666,        "152",    412819.879627,  7620407.539044, 789.2472                                                                                        98,     "",     12-04-2022/11:39:03.0   ,       MEAS;
                8388667,        "153",    412821.232862,  7620403.396408, 789.1921                                                                                        99,     "",     12-04-2022/11:40:41.0   ,       MEAS;
                8388668,        "154",    412821.244276,  7620403.352362, 789.1681                                                                                        81,     "",     12-04-2022/11:40:55.0   ,       MEAS;
                8388669,        "155",    412839.839007,  7620414.718983, 789.2167                                                                                        99,     "",     12-04-2022/11:43:40.0   ,       MEAS;
                8388670,        "156",    412839.841309,  7620414.717054, 789.2010                                                                                        66,     "",     12-04-2022/11:43:59.0   ,       MEAS;
                8388671,        "157",    412858.829492,  7620427.294588, 789.3528                                                                                        37,     "",     12-04-2022/11:45:17.0   ,       MEAS;
                8388672,        "158",    412858.792974,  7620427.299081, 789.3027                                                                                        28,     "",     12-04-2022/11:45:31.0   ,       MEAS;
