EP7
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                58720261,       "101",  ,       ,       596.006516,     "",    1                                                                                        5-04-2022/04:06:47.0    ,       MEAS;
                58720264,       "102",  419440.840444,  7624358.526229, 595.2607                                                                                        41,     "",     15-04-2022/04:14:46.0   ,       MEAS;
                58720265,       "103",  419440.777172,  7624358.476553, 595.2140                                                                                        12,     "",     15-04-2022/04:15:08.0   ,       MEAS;
                58720266,       "104",  419441.282431,  7624358.085933, 595.1560                                                                                        58,     "",     15-04-2022/04:15:50.0   ,       MEAS;
                58720267,       "105",  419441.357252,  7624358.096461, 595.0965                                                                                        55,     "",     15-04-2022/04:16:05.0   ,       MEAS;
                58720268,       "106",  419441.585178,  7624357.890632, 595.2402                                                                                        94,     "",     15-04-2022/04:16:53.0   ,       MEAS;
                58720269,       "107",  419441.572478,  7624357.913198, 595.1897                                                                                        97,     "",     15-04-2022/04:17:03.0   ,       MEAS;
                58720270,       "108",  419445.016630,  7624359.389959, 595.1672                                                                                        89,     "",     15-04-2022/04:17:46.0   ,       MEAS;
                58720271,       "109",  419444.954830,  7624359.429428, 595.1010                                                                                        05,     "",     15-04-2022/04:17:56.0   ,       MEAS;
                58720272,       "110",  419442.173861,  7624361.833780, 594.8952                                                                                        67,     "",     15-04-2022/04:18:30.0   ,       MEAS;
                58720273,       "111",  419442.223046,  7624361.929287, 594.8474                                                                                        73,     "",     15-04-2022/04:18:43.0   ,       MEAS;
                58720274,       "112",  419438.613808,  7624364.594287, 595.3204                                                                                        37,     "",     15-04-2022/04:19:29.0   ,       MEAS;
                58720275,       "113",  419438.568630,  7624364.560540, 595.2190                                                                                        97,     "",     15-04-2022/04:19:52.0   ,       MEAS;
                58720276,       "114",  419441.535277,  7624367.817493, 595.3013                                                                                        77,     "",     15-04-2022/04:20:30.0   ,       MEAS;
                58720277,       "115",  419441.565355,  7624367.845634, 595.2013                                                                                        74,     "",     15-04-2022/04:20:42.0   ,       MEAS;
                58720278,       "116",  419442.468213,  7624365.951754, 594.9500                                                                                        11,     "",     15-04-2022/04:21:14.0   ,       MEAS;
                58720279,       "117",  419442.464325,  7624365.958143, 594.9287                                                                                        95,     "",     15-04-2022/04:21:24.0   ,       MEAS;
                58720280,       "118",  419443.256429,  7624364.342313, 594.8124                                                                                        17,     "",     15-04-2022/04:21:44.0   ,       MEAS;
                58720281,       "119",  419443.182074,  7624364.253777, 594.7878                                                                                        27,     "",     15-04-2022/04:21:56.0   ,       MEAS;
                58720282,       "120",  419444.156443,  7624362.637075, 594.9051                                                                                        25,     "",     15-04-2022/04:22:23.0   ,       MEAS;
                58720283,       "121",  419444.248518,  7624362.711420, 594.8723                                                                                        55,     "",     15-04-2022/04:22:35.0   ,       MEAS;
                58720284,       "122",  419445.975146,  7624360.982941, 595.0870                                                                                        87,     "",     15-04-2022/04:23:15.0   ,       MEAS;
                58720285,       "123",  419445.940104,  7624360.962832, 595.0520                                                                                        48,     "",     15-04-2022/04:23:30.0   ,       MEAS;
                58720286,       "124",  419447.123580,  7624362.351290, 595.1630                                                                                        31,     "",     15-04-2022/04:24:15.0   ,       MEAS;
                58720287,       "125",  419447.122455,  7624362.363598, 594.9882                                                                                        47,     "",     15-04-2022/04:24:28.0   ,       MEAS;
                58720288,       "126",  419444.851756,  7624364.889768, 594.8545                                                                                        78,     "",     15-04-2022/04:24:55.0   ,       MEAS;
                58720289,       "127",  419444.843963,  7624364.897014, 594.8470                                                                                        82,     "",     15-04-2022/04:25:06.0   ,       MEAS;
                58720290,       "128",  419443.217036,  7624367.780825, 595.2287                                                                                        13,     "",     15-04-2022/04:25:47.0   ,       MEAS;
                58720291,       "129",  419443.289086,  7624367.814008, 595.1024                                                                                        16,     "",     15-04-2022/04:25:54.0   ,       MEAS;
                58720292,       "130",  419443.266601,  7624367.720115, 595.0998                                                                                        43,     "",     15-04-2022/04:26:27.0   ,       MEAS;
                58720293,       "131",  419447.687003,  7624366.823349, 595.0786                                                                                        44,     "",     15-04-2022/04:27:10.0   ,       MEAS;
                58720294,       "132",  419447.721455,  7624366.851990, 594.9414                                                                                        24,     "",     15-04-2022/04:27:21.0   ,       MEAS;
                58720295,       "133",  419448.044250,  7624366.345070, 594.8183                                                                                        47,     "",     15-04-2022/04:27:43.0   ,       MEAS;
                58720296,       "134",  419448.094727,  7624366.300017, 594.7658                                                                                        92,     "",     15-04-2022/04:27:55.0   ,       MEAS;
                58720297,       "135",  419448.374905,  7624365.873180, 595.0016                                                                                        65,     "",     15-04-2022/04:28:26.0   ,       MEAS;
                58720298,       "136",  419448.314308,  7624365.862959, 594.9577                                                                                        92,     "",     15-04-2022/04:28:37.0   ,       MEAS;
                58720299,       "137",  419484.575198,  7624377.720197, 594.0985                                                                                        55,     "",     15-04-2022/04:42:50.0   ,       MEAS;
                58720300,       "138",  419484.577834,  7624377.718936, 593.9478                                                                                        83,     "",     15-04-2022/04:43:04.0   ,       MEAS;
                58720301,       "139",  419484.669709,  7624375.919572, 592.9685                                                                                        71,     "",     15-04-2022/04:44:03.0   ,       MEAS;
                58720302,       "140",  419484.649754,  7624375.858233, 592.7425                                                                                        33,     "",     15-04-2022/04:49:23.0   ,       MEAS;
                58720303,       "141",  419485.641239,  7624373.636747, 594.4217                                                                                        06,     "",     15-04-2022/04:51:20.0   ,       MEAS;
                58720304,       "142",  419485.661981,  7624373.713172, 594.0816                                                                                        18,     "",     15-04-2022/04:51:38.0   ,       MEAS;
                58720305,       "143",  419492.149506,  7624370.339946, 594.2850                                                                                        60,     "",     15-04-2022/04:53:58.0   ,       MEAS;
                58720306,       "144",  419492.190088,  7624370.313918, 594.2701                                                                                        82,     "",     15-04-2022/04:54:20.0   ,       MEAS;
                58720307,       "145",  419489.372091,  7624376.597918, 592.8315                                                                                        66,     "",     15-04-2022/05:05:25.0   ,       MEAS;
                58720308,       "146",  419489.569273,  7624376.364393, 592.6150                                                                                        83,     "",     15-04-2022/05:05:47.0   ,       MEAS;
                58720309,       "147",  419492.861812,  7624376.252844, 593.0260                                                                                        34,     "",     15-04-2022/05:07:40.0   ,       MEAS;
                58720310,       "148",  419492.911761,  7624376.549075, 592.8472                                                                                        91,     "",     15-04-2022/05:08:09.0   ,       MEAS;
                58720311,       "149",  419488.419540,  7624380.160681, 594.2807                                                                                        21,     "",     15-04-2022/05:10:37.0   ,       MEAS;
                58720312,       "150",  419488.346501,  7624380.052688, 594.2001                                                                                        57,     "",     15-04-2022/05:10:49.0   ,       MEAS;
                58720313,       "151",  419500.701548,  7624382.886262, 594.2968                                                                                        84,     "",     15-04-2022/05:12:16.0   ,       MEAS;
                58720314,       "152",  419500.679766,  7624382.852020, 594.1750                                                                                        09,     "",     15-04-2022/05:12:29.0   ,       MEAS;
                58720315,       "153",  419500.156857,  7624379.862118, 593.8017                                                                                        26,     "",     15-04-2022/05:13:10.0   ,       MEAS;
                58720316,       "154",  419500.161021,  7624379.898287, 593.7761                                                                                        73,     "",     15-04-2022/05:13:20.0   ,       MEAS;
