TP14
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                41943045,       "101",  ,       ,       1.798708,       "",    14-04-2022/04:26:18.0    ,       MEAS;
                41943048,       "102",  423236.350497,  7628765.969196, 2.112086,       "",     14-04-2022/04:32:56.0   ,       MEAS;
                41943049,       "103",  423236.235891,  7628765.988013, 2.053718,       "",     14-04-2022/04:34:11.0   ,       MEAS;
                41943050,       "104",  423219.453898,  7628782.153446, 2.256035,       "",     14-04-2022/04:36:42.0   ,       MEAS;
                41943051,       "105",  423219.463798,  7628782.183092, 2.119204,       "",     14-04-2022/04:37:52.0   ,       MEAS;
                41943052,       "106",  423197.548698,  7628796.143815, 2.146635,       "",     14-04-2022/04:39:13.0   ,       MEAS;
                41943053,       "107",  423197.457165,  7628796.191619, 2.116398,       "",     14-04-2022/04:39:56.0   ,       MEAS;
                41943054,       "108",  423177.981332,  7628808.626718, 1.869661,       "",     14-04-2022/04:41:58.0   ,       MEAS;
                41943055,       "109",  423177.777678,  7628808.621426, 1.805397,       "",     14-04-2022/04:44:54.0   ,       MEAS;
                41943056,       "110",  423167.214311,  7628807.902153, 1.575355,       "",     14-04-2022/04:47:25.0   ,       MEAS;
                41943057,       "111",  423167.201384,  7628807.938901, 1.549484,       "",     14-04-2022/04:47:44.0   ,       MEAS;
                41943058,       "112",  423179.438760,  7628799.753029, 2.328380,       "",     14-04-2022/04:48:49.0   ,       MEAS;
                41943059,       "113",  423179.478178,  7628799.706350, 2.295831,       "",     14-04-2022/04:49:04.0   ,       MEAS;
                41943060,       "114",  423192.622352,  7628790.034767, 2.522774,       "",     14-04-2022/04:50:33.0   ,       MEAS;
                41943061,       "115",  423192.600088,  7628789.999952, 2.427265,       "",     14-04-2022/04:50:52.0   ,       MEAS;
                41943062,       "116",  423233.856876,  7628760.132010, 2.224860,       "",     14-04-2022/04:52:41.0   ,       MEAS;
                41943063,       "117",  423233.894991,  7628760.149973, 2.153341,       "",     14-04-2022/04:53:04.0   ,       MEAS;
                41943064,       "118",  423231.476395,  7628756.837735, 2.369642,       "",     14-04-2022/04:53:47.0   ,       MEAS;
                41943065,       "119",  423231.573647,  7628756.761535, 2.247903,       "",     14-04-2022/04:54:07.0   ,       MEAS;
                41943066,       "120",  423210.752095,  7628772.152618, 2.461681,       "",     14-04-2022/04:57:10.0   ,       MEAS;
                41943067,       "121",  423210.666876,  7628772.135875, 2.459991,       "",     14-04-2022/04:57:51.0   ,       MEAS;
                41943068,       "122",  423190.495089,  7628786.939588, 2.607924,       "",     14-04-2022/04:59:36.0   ,       MEAS;
                41943069,       "123",  423190.480247,  7628786.987312, 2.495606,       "",     14-04-2022/04:59:58.0   ,       MEAS;
                41943070,       "124",  423170.106058,  7628801.526909, 2.351379,       "",     14-04-2022/05:01:47.0   ,       MEAS;
