EP10
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                75497477,       "101",  ,       ,       421.386384,     "",    15-04-2022/09:16:09.0    ,       MEAS;
                75497480,       "102",  424869.297280,  7644457.437520, 421.658398,     "",     15-04-2022/09:23:37.0   ,       MEAS;
                75497481,       "103",  424869.310006,  7644457.457415, 421.547617,     "",     15-04-2022/09:23:52.0   ,       MEAS;
                75497482,       "104",  424872.522658,  7644457.450527, 421.120714,     "",     15-04-2022/09:28:46.0   ,       MEAS;
                75497483,       "105",  424872.606349,  7644457.443787, 421.093394,     "",     15-04-2022/09:29:02.0   ,       MEAS;
                75497484,       "106",  424876.879114,  7644456.608440, 421.736120,     "",     15-04-2022/09:30:07.0   ,       MEAS;
                75497485,       "107",  424876.902234,  7644456.562261, 421.631265,     "",     15-04-2022/09:30:20.0   ,       MEAS;
                75497486,       "108",  424890.822653,  7644458.471898, 421.562809,     "",     15-04-2022/09:30:59.0   ,       MEAS;
                75497487,       "109",  424890.763774,  7644458.449886, 421.514456,     "",     15-04-2022/09:31:11.0   ,       MEAS;
                75497488,       "110",  424882.440407,  7644468.341173, 420.836727,     "",     15-04-2022/09:36:00.0   ,       MEAS;
                75497489,       "111",  424882.437296,  7644468.362957, 420.836738,     "",     15-04-2022/09:36:15.0   ,       MEAS;
                75497490,       "112",  424877.959052,  7644480.084054, 421.474805,     "",     15-04-2022/09:37:47.0   ,       MEAS;
                75497491,       "113",  424877.947856,  7644480.020752, 421.346824,     "",     15-04-2022/09:37:59.0   ,       MEAS;
                75497492,       "114",  424879.362421,  7644487.338867, 421.497654,     "",     15-04-2022/09:39:27.0   ,       MEAS;
                75497493,       "115",  424879.496437,  7644487.341069, 421.413077,     "",     15-04-2022/09:39:46.0   ,       MEAS;
                75497494,       "116",  424882.678518,  7644481.965740, 421.261478,     "",     15-04-2022/09:41:45.0   ,       MEAS;
                75497495,       "117",  424882.550765,  7644482.012337, 421.244672,     "",     15-04-2022/09:41:59.0   ,       MEAS;
                75497496,       "118",  424886.874055,  7644470.835720, 420.846399,     "",     15-04-2022/09:43:13.0   ,       MEAS;
                75497497,       "119",  424886.869162,  7644470.858215, 420.846262,     "",     15-04-2022/09:43:19.0   ,       MEAS;
                75497498,       "120",  424888.589465,  7644465.684325, 421.099238,     "",     15-04-2022/09:45:01.0   ,       MEAS;
                75497499,       "121",  424888.533279,  7644465.759384, 421.100921,     "",     15-04-2022/09:45:23.0   ,       MEAS;
                75497500,       "122",  424887.682511,  7644466.437220, 420.326429,     "",     15-04-2022/09:46:50.0   ,       MEAS;
                75497501,       "123",  424887.473347,  7644466.536471, 420.130168,     "",     15-04-2022/09:47:07.0   ,       MEAS;
                75497502,       "124",  424894.809143,  7644459.506982, 421.497034,     "",     15-04-2022/09:47:58.0   ,       MEAS;
                75497503,       "125",  424894.881606,  7644459.427902, 421.359928,     "",     15-04-2022/09:48:13.0   ,       MEAS;
                75497504,       "126",  424899.559639,  7644462.242306, 421.549140,     "",     15-04-2022/09:49:53.0   ,       MEAS;
                75497505,       "127",  424899.538084,  7644462.243602, 421.338703,     "",     15-04-2022/09:50:06.0   ,       MEAS;
                75497506,       "128",  424891.929390,  7644471.741715, 420.592639,     "",     15-04-2022/09:52:45.0   ,       MEAS;
                75497507,       "129",  424891.887172,  7644471.672572, 420.592411,     "",     15-04-2022/09:52:54.0   ,       MEAS;
                75497508,       "130",  424886.630258,  7644481.368533, 421.397425,     "",     15-04-2022/09:53:59.0   ,       MEAS;
                75497509,       "131",  424886.723329,  7644481.355653, 421.320859,     "",     15-04-2022/09:54:12.0   ,       MEAS;
                75497510,       "132",  424891.158848,  7644482.254602, 421.429469,     "",     15-04-2022/09:55:23.0   ,       MEAS;
                75497511,       "133",  424891.227674,  7644482.276277, 421.285866,     "",     15-04-2022/09:55:34.0   ,       MEAS;
                75497512,       "134",  424896.237796,  7644475.028791, 420.803917,     "",     15-04-2022/09:56:54.0   ,       MEAS;
                75497513,       "135",  424896.233425,  7644474.968568, 420.804005,     "",     15-04-2022/09:57:02.0   ,       MEAS;
                75497514,       "136",  424899.813556,  7644472.480966, 421.308150,     "",     15-04-2022/09:58:54.0   ,       MEAS;
                75497515,       "137",  424899.657287,  7644472.490802, 421.220408,     "",     15-04-2022/09:59:05.0   ,       MEAS;
                75497516,       "138",  424994.793452,  7644526.567763, 419.553802,     "",     15-04-2022/10:29:16.0   ,       MEAS;
                75497517,       "139",  424994.763865,  7644526.562856, 419.516094,     "",     15-04-2022/10:29:30.0   ,       MEAS;
                75497518,       "140",  424991.785783,  7644528.058896, 419.065252,     "",     15-04-2022/10:31:17.0   ,       MEAS;
                75497519,       "141",  424991.772158,  7644528.070088, 419.065189,     "",     15-04-2022/10:31:20.0   ,       MEAS;
                75497520,       "142",  424991.511216,  7644532.863949, 419.554819,     "",     15-04-2022/10:33:56.0   ,       MEAS;
                75497521,       "143",  424991.531347,  7644532.872621, 419.433801,     "",     15-04-2022/10:34:08.0   ,       MEAS;
                75497522,       "144",  424993.801520,  7644541.195907, 419.483404,     "",     15-04-2022/10:34:46.0   ,       MEAS;
                75497523,       "145",  424993.907190,  7644541.168151, 419.447507,     "",     15-04-2022/10:35:19.0   ,       MEAS;
                75497524,       "146",  424996.880015,  7644532.940889, 418.675224,     "",     15-04-2022/10:36:29.0   ,       MEAS;
                75497525,       "147",  424996.881972,  7644532.943564, 418.675117,     "",     15-04-2022/10:36:32.0   ,       MEAS;
                75497526,       "148",  424999.109493,  7644528.305687, 419.480613,     "",     15-04-2022/10:39:32.0   ,       MEAS;
                75497527,       "149",  424999.118508,  7644528.214694, 419.386876,     "",     15-04-2022/10:39:56.0   ,       MEAS;
