TP09
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                159383557,      "101",  ,       ,       658.590875,     "",    08-08-2020/08:11:12.0    ,       MEAS;
                159383560,      "102",  418118.828107,  7622960.195953, 654.899081,     "",     08-08-2020/08:24:51.0   ,       MEAS;
                159383561,      "103",  418118.832815,  7622960.208537, 654.895758,     "",     08-08-2020/08:25:07.0   ,       MEAS;
                159383562,      "104",  418124.360005,  7622984.547317, 655.641455,     "",     08-08-2020/08:28:37.0   ,       MEAS;
                159383563,      "105",  418124.369642,  7622984.522967, 655.605006,     "",     08-08-2020/08:28:55.0   ,       MEAS;
                159383564,      "106",  418130.499740,  7623008.957043, 655.870934,     "",     08-08-2020/08:29:51.0   ,       MEAS;
                159383565,      "107",  418130.476740,  7623008.980283, 655.711285,     "",     08-08-2020/08:30:04.0   ,       MEAS;
                159383566,      "108",  418135.783562,  7623033.504230, 656.651003,     "",     08-08-2020/08:30:51.0   ,       MEAS;
                159383567,      "109",  418135.771594,  7623033.471830, 656.548653,     "",     08-08-2020/08:31:18.0   ,       MEAS;
                159383568,      "110",  418140.677637,  7623032.724369, 656.646437,     "",     08-08-2020/08:33:41.0   ,       MEAS;
                159383569,      "111",  418140.641262,  7623032.722726, 656.554402,     "",     08-08-2020/08:33:54.0   ,       MEAS;
                159383570,      "112",  418137.050279,  7623007.667188, 656.110733,     "",     08-08-2020/08:35:49.0   ,       MEAS;
                159383571,      "113",  418137.059252,  7623007.685065, 656.091192,     "",     08-08-2020/08:35:59.0   ,       MEAS;
                159383572,      "114",  418133.227124,  7622983.393570, 655.532715,     "",     08-08-2020/08:36:55.0   ,       MEAS;
                159383573,      "115",  418133.259517,  7622983.381054, 655.464651,     "",     08-08-2020/08:37:10.0   ,       MEAS;
                159383574,      "116",  418127.067695,  7622958.073181, 654.629088,     "",     08-08-2020/08:38:17.0   ,       MEAS;
                159383575,      "117",  418127.081402,  7622958.064585, 654.603752,     "",     08-08-2020/08:38:27.0   ,       MEAS;
                159383576,      "118",  418135.160288,  7622957.465361, 654.583461,     "",     08-08-2020/08:41:44.0   ,       MEAS;
                159383577,      "119",  418135.131810,  7622957.429248, 654.544020,     "",     08-08-2020/08:41:55.0   ,       MEAS;
                159383578,      "120",  418138.410368,  7622980.056623, 655.408095,     "",     08-08-2020/08:43:26.0   ,       MEAS;
                159383579,      "121",  418138.409081,  7622980.060800, 655.355579,     "",     08-08-2020/08:43:39.0   ,       MEAS;
                159383580,      "122",  418139.744683,  7623004.988788, 656.142580,     "",     08-08-2020/08:44:21.0   ,       MEAS;
                159383581,      "123",  418139.762090,  7623004.989986, 656.105892,     "",     08-08-2020/08:44:31.0   ,       MEAS;
                159383582,      "124",  418141.600482,  7623032.949314, 656.634162,     "",     08-08-2020/08:45:24.0   ,       MEAS;
                159383583,      "125",  418141.601241,  7623032.990145, 656.508715,     "",     08-08-2020/08:45:39.0   ,       MEAS;
                159383584,      "126",  418181.870398,  7623152.984561, 660.887345,     "",     08-08-2020/09:05:23.0   ,       MEAS;
                159383585,      "127",  418181.803178,  7623152.925280, 660.863304,     "",     08-08-2020/09:05:37.0   ,       MEAS;
                159383586,      "128",  418173.597059,  7623129.355621, 660.111249,     "",     08-08-2020/09:08:54.0   ,       MEAS;
                159383587,      "129",  418173.580049,  7623129.312995, 660.095979,     "",     08-08-2020/09:09:07.0   ,       MEAS;
                159383588,      "130",  418163.902842,  7623106.792762, 659.593231,     "",     08-08-2020/09:10:05.0   ,       MEAS;
                159383589,      "131",  418163.873370,  7623106.776459, 659.550012,     "",     08-08-2020/09:10:15.0   ,       MEAS;
                159383590,      "132",  418155.057660,  7623083.252994, 658.666957,     "",     08-08-2020/09:11:20.0   ,       MEAS;
                159383591,      "133",  418155.042014,  7623083.224672, 658.556567,     "",     08-08-2020/09:11:34.0   ,       MEAS;
                159383592,      "134",  418151.482134,  7623084.430704, 658.782915,     "",     08-08-2020/09:14:07.0   ,       MEAS;
                159383593,      "135",  418151.460987,  7623084.426726, 658.744708,     "",     08-08-2020/09:14:16.0   ,       MEAS;
                159383594,      "136",  418159.919541,  7623107.643042, 659.459344,     "",     08-08-2020/09:16:10.0   ,       MEAS;
                159383595,      "137",  418159.885156,  7623107.670156, 659.410481,     "",     08-08-2020/09:16:24.0   ,       MEAS;
                159383596,      "138",  418169.581758,  7623131.525749, 659.993405,     "",     08-08-2020/09:17:10.0   ,       MEAS;
                159383597,      "139",  418169.612955,  7623131.503235, 659.918105,     "",     08-08-2020/09:17:23.0   ,       MEAS;
                159383598,      "140",  418178.521266,  7623154.131174, 660.682607,     "",     08-08-2020/09:18:22.0   ,       MEAS;
