EP10
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                58720261,       "101",  ,       ,       419.759687,     "",    01-08-2020/07:52:59.0    ,       MEAS;
                58720264,       "102",  424970.356711,  7644554.616774, 420.612359,     "",     01-08-2020/07:58:59.0   ,       MEAS;
                58720265,       "103",  424970.366961,  7644554.716782, 420.561405,     "",     01-08-2020/07:59:13.0   ,       MEAS;
                58720266,       "104",  424954.414802,  7644572.349384, 421.877874,     "",     01-08-2020/08:01:28.0   ,       MEAS;
                58720267,       "105",  424954.424194,  7644572.372166, 421.842711,     "",     01-08-2020/08:01:40.0   ,       MEAS;
                58720268,       "106",  424937.102490,  7644603.469497, 421.849225,     "",     01-08-2020/08:02:26.0   ,       MEAS;
                58720269,       "107",  424937.112830,  7644603.418687, 421.707760,     "",     01-08-2020/08:02:41.0   ,       MEAS;
                58720270,       "108",  424926.709660,  7644623.375067, 421.785928,     "",     01-08-2020/08:03:39.0   ,       MEAS;
                58720271,       "109",  424926.716500,  7644623.392999, 421.644197,     "",     01-08-2020/08:03:55.0   ,       MEAS;
                58720272,       "110",  424928.427488,  7644624.053890, 421.733323,     "",     01-08-2020/08:04:44.0   ,       MEAS;
                58720273,       "111",  424928.442248,  7644624.060204, 421.671889,     "",     01-08-2020/08:05:04.0   ,       MEAS;
                58720274,       "112",  424941.308256,  7644596.870011, 421.921690,     "",     01-08-2020/08:06:24.0   ,       MEAS;
                58720275,       "113",  424941.399559,  7644596.856086, 421.821412,     "",     01-08-2020/08:06:36.0   ,       MEAS;
                58720276,       "114",  424956.848933,  7644572.701173, 422.053261,     "",     01-08-2020/08:07:37.0   ,       MEAS;
                58720277,       "115",  424956.727599,  7644572.608425, 421.944995,     "",     01-08-2020/08:07:53.0   ,       MEAS;
                58720278,       "116",  424972.204033,  7644555.975993, 420.705104,     "",     01-08-2020/08:08:35.0   ,       MEAS;
                58720279,       "117",  424972.161533,  7644555.965363, 420.613849,     "",     01-08-2020/08:08:49.0   ,       MEAS;
                58720280,       "118",  424975.472734,  7644559.415393, 420.775265,     "",     01-08-2020/08:09:34.0   ,       MEAS;
                58720281,       "119",  424975.468544,  7644559.382142, 420.695691,     "",     01-08-2020/08:09:48.0   ,       MEAS;
                58720282,       "120",  424959.163279,  7644577.559911, 421.838260,     "",     01-08-2020/08:11:15.0   ,       MEAS;
                58720283,       "121",  424959.153174,  7644577.535761, 421.791311,     "",     01-08-2020/08:11:24.0   ,       MEAS;
                58720284,       "122",  424939.222350,  7644602.340571, 421.718816,     "",     01-08-2020/08:12:28.0   ,       MEAS;
                58720285,       "123",  424939.211972,  7644602.388880, 421.662222,     "",     01-08-2020/08:12:39.0   ,       MEAS;
                58720286,       "124",  424922.824168,  7644621.367416, 421.693114,     "",     01-08-2020/08:13:37.0   ,       MEAS;
                58720287,       "125",  424922.812866,  7644621.405101, 421.587227,     "",     01-08-2020/08:13:49.0   ,       MEAS;
                58720288,       "126",  424926.945093,  7644622.588831, 421.688297,     "",     01-08-2020/08:14:51.0   ,       MEAS;
                58720289,       "127",  424926.908955,  7644622.605224, 421.582187,     "",     01-08-2020/08:15:05.0   ,       MEAS;
                58720290,       "128",  424946.608268,  7644596.782160, 421.964013,     "",     01-08-2020/08:16:42.0   ,       MEAS;
                58720291,       "129",  424946.568982,  7644596.718012, 421.803106,     "",     01-08-2020/08:17:04.0   ,       MEAS;
                58720292,       "130",  424963.420888,  7644582.854726, 421.726075,     "",     01-08-2020/08:17:52.0   ,       MEAS;
                58720293,       "131",  424963.400261,  7644582.870589, 421.647066,     "",     01-08-2020/08:18:07.0   ,       MEAS;
                58720294,       "132",  424981.554983,  7644565.739013, 420.391984,     "",     01-08-2020/08:20:21.0   ,       MEAS;
                58720295,       "133",  424981.516423,  7644565.792350, 420.362935,     "",     01-08-2020/08:20:52.0   ,       MEAS;
                58720296,       "134",  424987.538336,  7644574.059419, 420.331555,     "",     01-08-2020/08:22:07.0   ,       MEAS;
                58720297,       "135",  424987.655703,  7644574.100740, 420.276886,     "",     01-08-2020/08:22:42.0   ,       MEAS;
                58720298,       "136",  424970.557225,  7644591.167383, 421.745775,     "",     01-08-2020/08:24:46.0   ,       MEAS;
                58720299,       "137",  424970.541042,  7644591.102410, 421.691173,     "",     01-08-2020/08:25:04.0   ,       MEAS;
                58720300,       "138",  424953.065152,  7644610.481549, 421.969144,     "",     01-08-2020/08:26:12.0   ,       MEAS;
                58720301,       "139",  424953.001362,  7644610.493324, 421.864166,     "",     01-08-2020/08:26:29.0   ,       MEAS;
                58720302,       "140",  424935.517310,  7644628.691108, 421.843361,     "",     01-08-2020/08:27:37.0   ,       MEAS;
                58720303,       "141",  424935.547958,  7644628.773154, 421.742804,     "",     01-08-2020/08:28:00.0   ,       MEAS;
                58720304,       "142",  424846.392207,  7644560.657984, 422.549855,     "",     01-08-2020/08:47:50.0   ,       MEAS;
                58720305,       "143",  424846.320558,  7644560.558935, 422.374802,     "",     01-08-2020/08:48:07.0   ,       MEAS;
                58720306,       "144",  424853.248475,  7644548.990596, 422.665314,     "",     01-08-2020/08:49:23.0   ,       MEAS;
                58720307,       "145",  424853.324783,  7644549.003195, 422.571474,     "",     01-08-2020/08:49:37.0   ,       MEAS;
                58720308,       "146",  424863.849730,  7644527.886899, 422.287015,     "",     01-08-2020/08:50:30.0   ,       MEAS;
                58720309,       "147",  424863.917153,  7644527.895642, 422.225252,     "",     01-08-2020/08:50:41.0   ,       MEAS;
