TP05
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                33554437,       "101",  ,       ,       786.220011,     "",    29-07-2020/08:18:38.0    ,       MEAS;
                33554440,       "102",    412746.666001,  7620462.206381, 786.450647,     "",     29-07-2020/08:37:19.0   ,       MEAS;
                33554441,       "103",    412746.702594,  7620462.196767, 786.381376,     "",     29-07-2020/08:38:16.0   ,       MEAS;
                33554442,       "104",    412747.331556,  7620464.549696, 786.054974,     "",     29-07-2020/08:39:15.0   ,       MEAS;
                33554443,       "105",    412747.332486,  7620464.574459, 786.052573,     "",     29-07-2020/08:39:46.0   ,       MEAS;
                33554444,       "106",    412745.709637,  7620464.381855, 786.120967,     "",     29-07-2020/08:41:26.0   ,       MEAS;
                33554445,       "107",    412745.589292,  7620464.393652, 786.122162,     "",     29-07-2020/08:41:57.0   ,       MEAS;
                33554446,       "108",    412743.910282,  7620465.702112, 786.469251,     "",     29-07-2020/08:43:06.0   ,       MEAS;
                33554447,       "109",    412743.919527,  7620465.693659, 786.440119,     "",     29-07-2020/08:43:31.0   ,       MEAS;
                33554448,       "110",    412747.568181,  7620467.353417, 786.435103,     "",     29-07-2020/08:44:14.0   ,       MEAS;
                33554449,       "111",    412747.556827,  7620467.352135, 786.397734,     "",     29-07-2020/08:45:03.0   ,       MEAS;
                33554450,       "112",    412752.156407,  7620462.828763, 786.124780,     "",     29-07-2020/08:45:58.0   ,       MEAS;
                33554451,       "113",    412752.134048,  7620462.814082, 786.086632,     "",     29-07-2020/08:46:24.0   ,       MEAS;
                33554452,       "114",    412757.234154,  7620457.646583, 786.437366,     "",     29-07-2020/08:49:32.0   ,       MEAS;
                33554453,       "115",    412757.229545,  7620457.639030, 786.418101,     "",     29-07-2020/08:50:07.0   ,       MEAS;
                33554454,       "116",    412755.020965,  7620466.338028, 786.623576,     "",     29-07-2020/08:52:15.0   ,       MEAS;
                33554455,       "117",    412755.000077,  7620466.350008, 786.598297,     "",     29-07-2020/08:53:03.0   ,       MEAS;
                33554456,       "118",    412754.846527,  7620466.832720, 786.567168,     "",     29-07-2020/08:53:42.0   ,       MEAS;
                33554457,       "119",    412754.846619,  7620466.830908, 786.514122,     "",     29-07-2020/08:53:59.0   ,       MEAS;
                33554458,       "120",    412754.714578,  7620467.436844, 786.694024,     "",     29-07-2020/08:54:53.0   ,       MEAS;
                33554459,       "121",    412754.701466,  7620467.337596, 786.574337,     "",     29-07-2020/08:55:27.0   ,       MEAS;
                33554460,       "122",    412792.531276,  7620397.004577, 785.359959,     "",     29-07-2020/09:18:41.0   ,       MEAS;
                33554461,       "123",    412792.539414,  7620397.007452, 785.293484,     "",     29-07-2020/09:19:08.0   ,       MEAS;
                33554462,       "124",    412796.313645,  7620396.915095, 785.203412,     "",     29-07-2020/09:19:46.0   ,       MEAS;
                33554463,       "125",    412796.333562,  7620396.857066, 785.156599,     "",     29-07-2020/09:20:03.0   ,       MEAS;
                33554464,       "126",    412799.626559,  7620396.881269, 785.307995,     "",     29-07-2020/09:20:37.0   ,       MEAS;
                33554465,       "127",    412799.642802,  7620396.876974, 785.235287,     "",     29-07-2020/09:21:20.0   ,       MEAS;
                33554466,       "128",    412799.705676,  7620393.754851, 785.270720,     "",     29-07-2020/09:22:40.0   ,       MEAS;
                33554467,       "129",    412799.677684,  7620393.753526, 785.174482,     "",     29-07-2020/09:22:59.0   ,       MEAS;
                33554468,       "130",    412795.990383,  7620392.603777, 785.151644,     "",     29-07-2020/09:23:34.0   ,       MEAS;
                33554469,       "131",    412796.001711,  7620392.569848, 785.112983,     "",     29-07-2020/09:23:53.0   ,       MEAS;
                33554470,       "132",    412789.675298,  7620390.423523, 785.344677,     "",     29-07-2020/09:25:03.0   ,       MEAS;
                33554471,       "133",    412789.670578,  7620390.404003, 785.274950,     "",     29-07-2020/09:25:22.0   ,       MEAS;
                33554472,       "134",    412796.316531,  7620388.592866, 785.275492,     "",     29-07-2020/09:26:33.0   ,       MEAS;
                33554473,       "135",    412796.331144,  7620388.596154, 785.217454,     "",     29-07-2020/09:26:56.0   ,       MEAS;
                33554474,       "136",    412798.680203,  7620390.396342, 785.101115,     "",     29-07-2020/09:27:31.0   ,       MEAS;
                33554475,       "137",    412798.692366,  7620390.423446, 785.032527,     "",     29-07-2020/09:27:51.0   ,       MEAS;
                33554476,       "138",    412800.814220,  7620391.895105, 785.245258,     "",     29-07-2020/09:28:55.0   ,       MEAS;
                33554477,       "139",    412800.783082,  7620391.873754, 785.157528,     "",     29-07-2020/09:29:19.0   ,       MEAS;
                33554478,       "140",    412806.538752,  7620324.648160, 784.654859,     "",     29-07-2020/09:59:46.0   ,       MEAS;
                33554479,       "141",    412806.571786,  7620324.686002, 784.716046,     "",     29-07-2020/10:12:54.0   ,       MEAS;
