TP13
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                109051909,      "101",  ,       ,       589.234089,     "",    0                                                                                        3-08-2020/04:48:40.0    ,       MEAS;
                109051912,      "102",  420452.486603,  7622869.350466, 589.1315                                                                                        28,     "",     03-08-2020/04:54:20.0   ,       MEAS;
                109051913,      "103",  420452.402870,  7622869.324892, 588.9601                                                                                        09,     "",     03-08-2020/04:55:09.0   ,       MEAS;
                109051914,      "104",  420452.371594,  7622869.006781, 588.9760                                                                                        15,     "",     03-08-2020/04:55:35.0   ,       MEAS;
                109051915,      "105",  420452.428246,  7622868.919688, 588.9369                                                                                        84,     "",     03-08-2020/04:55:49.0   ,       MEAS;
                109051916,      "106",  420452.339067,  7622868.470549, 589.0809                                                                                        72,     "",     03-08-2020/04:56:27.0   ,       MEAS;
                109051917,      "107",  420452.405079,  7622868.514998, 589.0335                                                                                        19,     "",     03-08-2020/04:56:41.0   ,       MEAS;
                109051918,      "108",  420459.454531,  7622868.395482, 588.8813                                                                                        47,     "",     03-08-2020/04:58:00.0   ,       MEAS;
                109051919,      "109",  420459.386085,  7622868.330369, 588.8399                                                                                        09,     "",     03-08-2020/04:58:17.0   ,       MEAS;
                109051920,      "110",  420462.481077,  7622877.429527, 588.6678                                                                                        71,     "",     03-08-2020/04:59:19.0   ,       MEAS;
                109051921,      "111",  420462.582686,  7622877.374187, 588.5972                                                                                        18,     "",     03-08-2020/04:59:46.0   ,       MEAS;
                109051922,      "112",  420466.464308,  7622885.568592, 588.7916                                                                                        10,     "",     03-08-2020/05:00:39.0   ,       MEAS;
                109051923,      "113",  420466.417283,  7622885.469806, 588.6770                                                                                        64,     "",     03-08-2020/05:00:57.0   ,       MEAS;
                109051924,      "114",  420470.050583,  7622881.692589, 588.8452                                                                                        27,     "",     03-08-2020/05:01:41.0   ,       MEAS;
                109051925,      "115",  420470.032081,  7622881.638731, 588.6275                                                                                        56,     "",     03-08-2020/05:01:55.0   ,       MEAS;
                109051926,      "116",  420469.806080,  7622881.119608, 588.7591                                                                                        65,     "",     03-08-2020/05:02:23.0   ,       MEAS;
                109051927,      "117",  420469.857948,  7622881.142133, 588.6006                                                                                        49,     "",     03-08-2020/05:02:39.0   ,       MEAS;
                109051928,      "118",  420469.729011,  7622880.476616, 588.8481                                                                                        03,     "",     03-08-2020/05:03:10.0   ,       MEAS;
                109051929,      "119",  420469.734420,  7622880.651783, 588.7301                                                                                        85,     "",     03-08-2020/05:03:26.0   ,       MEAS;
                109051930,      "120",  420487.892252,  7622835.205955, 588.5820                                                                                        19,     "",     03-08-2020/05:18:02.0   ,       MEAS;
                109051931,      "121",  420487.863767,  7622835.181333, 588.4934                                                                                        77,     "",     03-08-2020/05:19:27.0   ,       MEAS;
                109051932,      "122",  420488.005347,  7622834.924163, 588.4790                                                                                        91,     "",     03-08-2020/05:20:44.0   ,       MEAS;
                109051933,      "123",  420488.033339,  7622834.821362, 588.4630                                                                                        98,     "",     03-08-2020/05:21:04.0   ,       MEAS;
                109051934,      "124",  420488.067592,  7622834.510638, 588.5748                                                                                        27,     "",     03-08-2020/05:21:43.0   ,       MEAS;
                109051935,      "125",  420488.094028,  7622834.435596, 588.5447                                                                                        24,     "",     03-08-2020/05:22:12.0   ,       MEAS;
                109051936,      "126",  420490.121959,  7622829.926542, 588.5128                                                                                        92,     "",     03-08-2020/05:23:01.0   ,       MEAS;
                109051937,      "127",  420490.140002,  7622829.980056, 588.4546                                                                                        62,     "",     03-08-2020/05:23:18.0   ,       MEAS;
                109051938,      "128",  420492.432237,  7622840.372117, 588.2349                                                                                        65,     "",     03-08-2020/05:24:45.0   ,       MEAS;
                109051939,      "129",  420492.496375,  7622840.249793, 588.2162                                                                                        62,     "",     03-08-2020/05:25:23.0   ,       MEAS;
                109051940,      "130",  420494.724937,  7622854.082848, 588.4541                                                                                        01,     "",     03-08-2020/05:26:29.0   ,       MEAS;
                109051941,      "131",  420494.697799,  7622854.013957, 588.3656                                                                                        24,     "",     03-08-2020/05:26:47.0   ,       MEAS;
                109051942,      "132",  420493.655128,  7622832.984725, 588.4817                                                                                        18,     "",     03-08-2020/05:28:50.0   ,       MEAS;
                109051943,      "133",  420493.657811,  7622833.005725, 588.3961                                                                                        10,     "",     03-08-2020/05:29:08.0   ,       MEAS;
                109051944,      "134",  420493.695112,  7622832.586698, 588.3810                                                                                        81,     "",     03-08-2020/05:29:39.0   ,       MEAS;
                109051945,      "135",  420493.684867,  7622832.522336, 588.3508                                                                                        61,     "",     03-08-2020/05:29:54.0   ,       MEAS;
                109051946,      "136",  420493.632662,  7622831.752933, 588.4965                                                                                        22,     "",     03-08-2020/05:30:22.0   ,       MEAS;
                109051947,      "137",  420493.656856,  7622831.744206, 588.4494                                                                                        61,     "",     03-08-2020/05:30:37.0   ,       MEAS;
                109051948,      "138",  420554.025238,  7622937.900852, 589.2830                                                                                        47,     "",     03-08-2020/05:43:30.0   ,       MEAS;
                109051949,      "139",  420554.000151,  7622937.841364, 589.2396                                                                                        20,     "",     03-08-2020/05:43:56.0   ,       MEAS;
                109051950,      "140",  420545.837359,  7622913.076151, 588.5602                                                                                        48,     "",     03-08-2020/05:45:53.0   ,       MEAS;
                109051951,      "141",  420545.784394,  7622913.059837, 588.5119                                                                                        04,     "",     03-08-2020/05:46:09.0   ,       MEAS;
