EP13
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                192937989,      "101",  ,       ,       331.981988,     "",    10-08-2020/05:44:58.0    ,       MEAS;
                192937991,      "102",  426672.821983,  7665391.698499, 329.618496,     "",     10-08-2020/06:02:51.0   ,       MEAS;
                192937992,      "103",  426672.855242,  7665391.673375, 329.582684,     "",     10-08-2020/06:04:29.0   ,       MEAS;
                192937993,      "104",  426671.055760,  7665394.788422, 328.894744,     "",     10-08-2020/06:05:17.0   ,       MEAS;
                192937994,      "105",  426671.109408,  7665394.795997, 328.684146,     "",     10-08-2020/06:06:11.0   ,       MEAS;
                192937995,      "106",  426669.228760,  7665398.051961, 329.607923,     "",     10-08-2020/06:07:40.0   ,       MEAS;
                192937996,      "107",  426669.214836,  7665398.085067, 329.524567,     "",     10-08-2020/06:08:06.0   ,       MEAS;
                192937997,      "108",  426662.893276,  7665398.976316, 329.569136,     "",     10-08-2020/06:10:10.0   ,       MEAS;
                192937998,      "109",  426662.898299,  7665398.971659, 329.558012,     "",     10-08-2020/06:10:39.0   ,       MEAS;
                192937999,      "110",  426655.556015,  7665400.399964, 329.870083,     "",     10-08-2020/06:11:30.0   ,       MEAS;
                192938000,      "111",  426655.511484,  7665400.399952, 329.695354,     "",     10-08-2020/06:11:53.0   ,       MEAS;
                192938001,      "112",  426647.548077,  7665398.557956, 329.918886,     "",     10-08-2020/06:12:43.0   ,       MEAS;
                192938002,      "113",  426647.476154,  7665398.528639, 329.773194,     "",     10-08-2020/06:13:02.0   ,       MEAS;
                192938003,      "114",  426640.190909,  7665401.169825, 329.671257,     "",     10-08-2020/06:14:06.0   ,       MEAS;
                192938004,      "115",  426640.192131,  7665401.178491, 329.582347,     "",     10-08-2020/06:14:44.0   ,       MEAS;
                192938005,      "116",  426638.034255,  7665399.912700, 328.854765,     "",     10-08-2020/06:15:46.0   ,       MEAS;
                192938006,      "117",  426638.013321,  7665399.895335, 328.688275,     "",     10-08-2020/06:16:21.0   ,       MEAS;
                192938007,      "118",  426636.538933,  7665399.107118, 329.471846,     "",     10-08-2020/06:17:12.0   ,       MEAS;
                192938008,      "119",  426636.479214,  7665399.054235, 329.353465,     "",     10-08-2020/06:17:33.0   ,       MEAS;
                192938009,      "120",  426642.759039,  7665386.188385, 329.563103,     "",     10-08-2020/06:18:19.0   ,       MEAS;
                192938010,      "121",  426642.802197,  7665386.264401, 329.432165,     "",     10-08-2020/06:18:34.0   ,       MEAS;
                192938011,      "122",  426652.312228,  7665379.278255, 329.695145,     "",     10-08-2020/06:19:42.0   ,       MEAS;
                192938012,      "123",  426652.315304,  7665379.240643, 329.635392,     "",     10-08-2020/06:19:59.0   ,       MEAS;
                192938013,      "124",  426653.190812,  7665384.097485, 328.388304,     "",     10-08-2020/06:22:35.0   ,       MEAS;
                192938014,      "125",  426653.164370,  7665384.064231, 328.363307,     "",     10-08-2020/06:23:49.0   ,       MEAS;
                192938015,      "126",  426668.620852,  7665383.756835, 329.477922,     "",     10-08-2020/06:31:44.0   ,       MEAS;
                192938016,      "127",  426668.637996,  7665383.816449, 329.221850,     "",     10-08-2020/06:32:30.0   ,       MEAS;
                192938017,      "128",  426665.247304,  7665391.715701, 328.496472,     "",     10-08-2020/06:35:43.0   ,       MEAS;
                192938018,      "129",  426665.201336,  7665391.734675, 328.287741,     "",     10-08-2020/06:36:17.0   ,       MEAS;
                192938019,      "130",  426654.891755,  7665388.126268, 327.485307,     "",     10-08-2020/06:43:32.0   ,       MEAS;
                192938020,      "131",  426657.125783,  7665388.785715, 327.141116,     "",     10-08-2020/06:46:39.0   ,       MEAS;
                192938021,      "132",  426654.971642,  7665395.223408, 328.229266,     "",     10-08-2020/06:51:13.0   ,       MEAS;
                192938022,      "133",  426655.154717,  7665395.124607, 328.135753,     "",     10-08-2020/06:51:46.0   ,       MEAS;
                192938023,      "134",  426645.797284,  7665392.827791, 328.907052,     "",     10-08-2020/06:56:31.0   ,       MEAS;
                192938024,      "135",  426645.754835,  7665392.771199, 328.811954,     "",     10-08-2020/06:56:49.0   ,       MEAS;
                192938025,      "136",  426732.303423,  7665335.249959, 329.643856,     "",     10-08-2020/07:14:04.0   ,       MEAS;
                192938026,      "137",  426732.299208,  7665335.259928, 329.543868,     "",     10-08-2020/07:14:41.0   ,       MEAS;
                192938027,      "138",  426733.101866,  7665337.023769, 329.014941,     "",     10-08-2020/07:15:42.0   ,       MEAS;
                192938028,      "139",  426733.080464,  7665337.040725, 328.863271,     "",     10-08-2020/07:16:42.0   ,       MEAS;
                192938029,      "140",  426734.244062,  7665338.849445, 329.589595,     "",     10-08-2020/07:17:35.0   ,       MEAS;
                192938030,      "141",  426734.244658,  7665338.882359, 329.473119,     "",     10-08-2020/07:17:53.0   ,       MEAS;
                192938031,      "142",  426731.354429,  7665346.205916, 329.433605,     "",     10-08-2020/07:18:55.0   ,       MEAS;
                192938032,      "143",  426731.362326,  7665346.219186, 329.381977,     "",     10-08-2020/07:19:07.0   ,       MEAS;
                192938033,      "144",  426729.378838,  7665354.426235, 329.493610,     "",     10-08-2020/07:19:55.0   ,       MEAS;
                192938034,      "145",  426729.426347,  7665354.363597, 329.485112,     "",     10-08-2020/07:21:27.0   ,       MEAS;
                192938035,      "146",  426729.427211,  7665354.380280, 329.455388,     "",     10-08-2020/07:21:47.0   ,       MEAS;
                192938036,      "147",  426724.505073,  7665360.614440, 329.707458,     "",     10-08-2020/07:22:35.0   ,       MEAS;
                192938037,      "148",  426724.530528,  7665360.546999, 329.589601,     "",     10-08-2020/07:22:53.0   ,       MEAS;
                192938038,      "149",  426723.681535,  7665365.939920, 329.583228,     "",     10-08-2020/07:23:22.0   ,       MEAS;
                192938039,      "150",  426723.683265,  7665365.912283, 329.465561,     "",     10-08-2020/07:23:38.0   ,       MEAS;
                192938040,      "151",  426721.561946,  7665366.951206, 328.852492,     "",     10-08-2020/07:24:10.0   ,       MEAS;
                192938041,      "152",  426721.561729,  7665366.956877, 328.703288,     "",     10-08-2020/07:24:46.0   ,       MEAS;
                192938042,      "153",  426718.599880,  7665368.858397, 329.571787,     "",     10-08-2020/07:26:15.0   ,       MEAS;
                192938043,      "154",  426718.592524,  7665368.859696, 329.509877,     "",     10-08-2020/07:26:31.0   ,       MEAS;
                192938044,      "155",  426705.201569,  7665364.909108, 329.756725,     "",     10-08-2020/07:29:47.0   ,       MEAS;
                192938045,      "156",  426705.230703,  7665364.916281, 329.689351,     "",     10-08-2020/07:30:01.0   ,       MEAS;
                192938046,      "157",  426698.556073,  7665350.471199, 329.809003,     "",     10-08-2020/07:30:56.0   ,       MEAS;
                192938047,      "158",  426698.589611,  7665350.513065, 329.672978,     "",     10-08-2020/07:31:16.0   ,       MEAS;
                192938048,      "159",  426710.824478,  7665334.977589, 329.622453,     "",     10-08-2020/07:32:15.0   ,       MEAS;
                192938049,      "160",  426710.828706,  7665334.948446, 329.599524,     "",     10-08-2020/07:32:29.0   ,       MEAS;
                192938050,      "161",  426704.873747,  7665348.079244, 328.122100,     "",     10-08-2020/07:34:27.0   ,       MEAS;
                192938051,      "162",  426704.863898,  7665348.111661, 327.677040,     "",     10-08-2020/07:35:17.0   ,       MEAS;
                192938052,      "163",  426720.280245,  7665339.758230, 327.326901,     "",     10-08-2020/07:39:40.0   ,       MEAS;
                192938053,      "164",  426720.310605,  7665339.471849, 327.299324,     "",     10-08-2020/07:40:06.0   ,       MEAS;
                192938054,      "165",  426718.298826,  7665350.069942, 327.109103,     "",     10-08-2020/07:43:23.0   ,       MEAS;
