TP06
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                260046853,      "101",  ,       ,       779.739480,     "",    15-08-2020/03:08:41.0    ,       MEAS;
                260046856,      "102",  412781.920729,  7619418.634200, 780.977351,     "",     15-08-2020/03:15:14.0   ,       MEAS;
                260046857,      "103",  412781.873563,  7619418.645002, 780.880106,     "",     15-08-2020/03:15:25.0   ,       MEAS;
                260046858,      "104",  412812.174186,  7619440.764613, 780.912761,     "",     15-08-2020/03:17:06.0   ,       MEAS;
                260046859,      "105",  412812.210734,  7619440.723126, 780.805684,     "",     15-08-2020/03:17:16.0   ,       MEAS;
                260046860,      "106",  412822.077243,  7619445.736054, 780.905464,     "",     15-08-2020/03:18:26.0   ,       MEAS;
                260046861,      "107",  412822.125469,  7619445.693259, 780.756960,     "",     15-08-2020/03:18:37.0   ,       MEAS;
                260046862,      "108",  412830.455962,  7619423.744351, 780.518039,     "",     15-08-2020/03:19:36.0   ,       MEAS;
                260046863,      "109",  412830.487132,  7619423.694568, 780.413511,     "",     15-08-2020/03:19:45.0   ,       MEAS;
                260046864,      "110",  412823.238664,  7619417.433037, 780.597300,     "",     15-08-2020/03:20:11.0   ,       MEAS;
                260046865,      "111",  412823.227357,  7619417.416795, 780.496230,     "",     15-08-2020/03:20:22.0   ,       MEAS;
                260046866,      "112",  412814.592271,  7619409.636910, 780.599690,     "",     15-08-2020/03:20:59.0   ,       MEAS;
                260046867,      "113",  412814.577340,  7619409.628108, 780.504114,     "",     15-08-2020/03:21:09.0   ,       MEAS;
                260046868,      "114",  412797.489584,  7619400.593523, 780.698281,     "",     15-08-2020/03:22:24.0   ,       MEAS;
                260046869,      "115",  412797.538180,  7619400.542377, 780.602556,     "",     15-08-2020/03:22:35.0   ,       MEAS;
                260046870,      "116",  412815.136800,  7619380.510747, 780.292714,     "",     15-08-2020/03:23:11.0   ,       MEAS;
                260046871,      "117",  412815.135326,  7619380.535116, 780.242436,     "",     15-08-2020/03:23:22.0   ,       MEAS;
                260046872,      "118",  412834.703114,  7619393.055650, 780.131083,     "",     15-08-2020/03:24:00.0   ,       MEAS;
                260046873,      "119",  412834.647527,  7619393.063318, 780.080868,     "",     15-08-2020/03:24:11.0   ,       MEAS;
                260046874,      "120",  412841.684457,  7619395.500594, 780.170119,     "",     15-08-2020/03:24:37.0   ,       MEAS;
                260046875,      "121",  412841.686340,  7619395.508378, 780.119707,     "",     15-08-2020/03:24:45.0   ,       MEAS;
                260046876,      "122",  412850.923719,  7619371.545376, 780.144165,     "",     15-08-2020/03:26:26.0   ,       MEAS;
                260046877,      "123",  412850.939861,  7619371.592990, 780.088058,     "",     15-08-2020/03:26:36.0   ,       MEAS;
                260046878,      "124",  412845.593332,  7619369.333071, 780.137491,     "",     15-08-2020/03:27:14.0   ,       MEAS;
                260046879,      "125",  412845.575648,  7619369.412252, 780.100529,     "",     15-08-2020/03:27:23.0   ,       MEAS;
                260046880,      "126",  412830.436432,  7619362.582313, 780.054501,     "",     15-08-2020/03:28:58.0   ,       MEAS;
                260046881,      "127",  412830.460292,  7619362.595238, 780.004724,     "",     15-08-2020/03:29:08.0   ,       MEAS;
                260046882,      "128",  412863.295056,  7619455.777581, 780.553361,     "",     15-08-2020/03:35:28.0   ,       MEAS;
                260046883,      "129",  412863.300627,  7619455.685405, 780.441592,     "",     15-08-2020/03:35:38.0   ,       MEAS;
                260046884,      "130",  412870.340709,  7619459.502537, 780.504964,     "",     15-08-2020/03:36:41.0   ,       MEAS;
                260046885,      "131",  412870.346501,  7619459.515550, 780.427852,     "",     15-08-2020/03:36:52.0   ,       MEAS;
                260046886,      "132",  412872.759284,  7619460.795326, 780.429171,     "",     15-08-2020/03:38:12.0   ,       MEAS;
                260046887,      "133",  412872.784345,  7619460.826044, 780.351975,     "",     15-08-2020/03:38:23.0   ,       MEAS;
                260046888,      "134",  412884.132504,  7619437.459055, 780.117662,     "",     15-08-2020/03:39:17.0   ,       MEAS;
                260046889,      "135",  412884.127602,  7619437.470879, 780.060905,     "",     15-08-2020/03:39:28.0   ,       MEAS;
                260046890,      "136",  412881.896247,  7619436.319123, 780.259056,     "",     15-08-2020/03:39:51.0   ,       MEAS;
                260046891,      "137",  412881.952185,  7619436.388479, 780.149106,     "",     15-08-2020/03:40:05.0   ,       MEAS;
