TP13
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                109051909,      "101",  ,       ,       583.445677,     "",    17-04-2022/06:13:34.0    ,       MEAS;
                109051912,      "102",  420442.160225,  7622747.600853, 588.558647,     "",     17-04-2022/06:18:10.0   ,       MEAS;
                109051913,      "103",  420442.128939,  7622747.542098, 588.469499,     "",     17-04-2022/06:18:36.0   ,       MEAS;
                109051914,      "104",  420454.388423,  7622768.957647, 588.251923,     "",     17-04-2022/06:19:12.0   ,       MEAS;
                109051915,      "105",  420454.422909,  7622769.016095, 588.175519,     "",     17-04-2022/06:19:27.0   ,       MEAS;
                109051916,      "106",  420466.157446,  7622794.682502, 587.321676,     "",     17-04-2022/06:20:12.0   ,       MEAS;
                109051917,      "107",  420466.166193,  7622794.671068, 587.232638,     "",     17-04-2022/06:20:24.0   ,       MEAS;
                109051918,      "108",  420477.912172,  7622811.571569, 584.024117,     "",     17-04-2022/06:21:45.0   ,       MEAS;
                109051919,      "109",  420477.914443,  7622811.558898, 584.005083,     "",     17-04-2022/06:22:21.0   ,       MEAS;
                109051920,      "110",  420482.906523,  7622809.633298, 583.919714,     "",     17-04-2022/06:23:03.0   ,       MEAS;
                109051921,      "111",  420482.919205,  7622809.599529, 583.921484,     "",     17-04-2022/06:23:20.0   ,       MEAS;
                109051922,      "112",  420472.377258,  7622792.662216, 586.020227,     "",     17-04-2022/06:25:30.0   ,       MEAS;
                109051923,      "113",  420472.328789,  7622792.603827, 586.016121,     "",     17-04-2022/06:25:42.0   ,       MEAS;
                109051924,      "114",  420457.465528,  7622767.018315, 588.259729,     "",     17-04-2022/06:26:20.0   ,       MEAS;
                109051925,      "115",  420457.479304,  7622767.001682, 588.204318,     "",     17-04-2022/06:26:30.0   ,       MEAS;
                109051926,      "116",  420448.147278,  7622743.260750, 588.511320,     "",     17-04-2022/06:27:03.0   ,       MEAS;
                109051927,      "117",  420448.173360,  7622743.284414, 588.442073,     "",     17-04-2022/06:27:31.0   ,       MEAS;
                109051928,      "118",  420452.075382,  7622741.373620, 588.296931,     "",     17-04-2022/06:28:22.0   ,       MEAS;
                109051929,      "119",  420452.086610,  7622741.363863, 588.292455,     "",     17-04-2022/06:28:39.0   ,       MEAS;
                109051930,      "120",  420462.302120,  7622764.218532, 588.193828,     "",     17-04-2022/06:30:55.0   ,       MEAS;
                109051931,      "121",  420462.287680,  7622764.270927, 588.127036,     "",     17-04-2022/06:31:09.0   ,       MEAS;
                109051932,      "122",  420476.904202,  7622790.262488, 585.935573,     "",     17-04-2022/06:32:11.0   ,       MEAS;
                109051933,      "123",  420476.932200,  7622790.224418, 585.929199,     "",     17-04-2022/06:32:25.0   ,       MEAS;
                109051934,      "124",  420486.393143,  7622807.791389, 583.853588,     "",     17-04-2022/06:33:27.0   ,       MEAS;
                109051935,      "125",  420486.432327,  7622807.819267, 583.818162,     "",     17-04-2022/06:34:03.0   ,       MEAS;
                109051936,      "126",  420424.107408,  7622775.465863, 588.681660,     "",     17-04-2022/06:43:57.0   ,       MEAS;
                109051937,      "127",  420424.159460,  7622775.555258, 588.622793,     "",     17-04-2022/06:44:27.0   ,       MEAS;
                109051938,      "128",  420432.169835,  7622799.314659, 588.068996,     "",     17-04-2022/06:45:22.0   ,       MEAS;
                109051939,      "129",  420432.212603,  7622799.281380, 588.002320,     "",     17-04-2022/06:45:33.0   ,       MEAS;
                109051940,      "130",  420443.068011,  7622821.520483, 585.109371,     "",     17-04-2022/06:47:14.0   ,       MEAS;
                109051941,      "131",  420443.090677,  7622821.471668, 585.122628,     "",     17-04-2022/06:47:27.0   ,       MEAS;
                109051942,      "132",  420449.866718,  7622848.767982, 584.057604,     "",     17-04-2022/06:48:17.0   ,       MEAS;
                109051943,      "133",  420449.850606,  7622848.721650, 584.036372,     "",     17-04-2022/06:48:48.0   ,       MEAS;
                109051944,      "134",  420456.460905,  7622846.824640, 583.753404,     "",     17-04-2022/06:49:10.0   ,       MEAS;
                109051945,      "135",  420456.496943,  7622846.808206, 583.730329,     "",     17-04-2022/06:49:35.0   ,       MEAS;
                109051946,      "136",  420445.194265,  7622820.280033, 584.905397,     "",     17-04-2022/06:50:33.0   ,       MEAS;
                109051947,      "137",  420445.188611,  7622820.283590, 584.880805,     "",     17-04-2022/06:50:42.0   ,       MEAS;
                109051948,      "138",  420438.081370,  7622797.061602, 588.032613,     "",     17-04-2022/06:51:45.0   ,       MEAS;
                109051949,      "139",  420438.027236,  7622797.101431, 587.948011,     "",     17-04-2022/06:51:59.0   ,       MEAS;
                109051950,      "140",  420428.745216,  7622773.011564, 588.688963,     "",     17-04-2022/06:53:02.0   ,       MEAS;
                109051951,      "141",  420428.795658,  7622773.082484, 588.588298,     "",     17-04-2022/06:53:14.0   ,       MEAS;
                109051952,      "142",  420432.296988,  7622772.133502, 588.609643,     "",     17-04-2022/06:54:13.0   ,       MEAS;
                109051953,      "143",  420432.298106,  7622772.171081, 588.571993,     "",     17-04-2022/06:54:27.0   ,       MEAS;
                109051954,      "144",  420441.154553,  7622795.517204, 588.041165,     "",     17-04-2022/06:56:17.0   ,       MEAS;
                109051955,      "145",  420441.155603,  7622795.438728, 587.992762,     "",     17-04-2022/06:56:32.0   ,       MEAS;
                109051956,      "146",  420449.579541,  7622819.054325, 584.837337,     "",     17-04-2022/06:57:38.0   ,       MEAS;
                109051957,      "147",  420449.550931,  7622819.017938, 584.782204,     "",     17-04-2022/06:57:48.0   ,       MEAS;
                109051958,      "148",  420460.106066,  7622841.190152, 583.851168,     "",     17-04-2022/06:58:58.0   ,       MEAS;
                109051959,      "149",  420460.106945,  7622841.126223, 583.785583,     "",     17-04-2022/06:59:17.0   ,       MEAS;
                109051960,      "150",  420510.742389,  7622971.704637, 584.747132,     "",     17-04-2022/07:08:03.0   ,       MEAS;
                109051961,      "151",  420510.706826,  7622971.714581, 584.670412,     "",     17-04-2022/07:08:16.0   ,       MEAS;
                109051962,      "152",  420500.508018,  7622950.388211, 583.936603,     "",     17-04-2022/07:09:29.0   ,       MEAS;
                109051963,      "153",  420494.329044,  7622927.815020, 583.355987,     "",     17-04-2022/07:10:14.0   ,       MEAS;
                109051964,      "154",  420494.317076,  7622927.753561, 583.212486,     "",     17-04-2022/07:10:24.0   ,       MEAS;
                109051965,      "155",  420486.844065,  7622903.931300, 583.123843,     "",     17-04-2022/07:11:19.0   ,       MEAS;
                109051966,      "156",  420486.779012,  7622903.981201, 582.967956,     "",     17-04-2022/07:11:31.0   ,       MEAS;
                109051967,      "157",  420471.846732,  7622909.430665, 583.352778,     "",     17-04-2022/07:12:29.0   ,       MEAS;
                109051968,      "158",  420471.789307,  7622909.427641, 583.286348,     "",     17-04-2022/07:12:45.0   ,       MEAS;
                109051969,      "159",  420480.012023,  7622933.660624, 583.576941,     "",     17-04-2022/07:13:33.0   ,       MEAS;
                109051970,      "160",  420480.037107,  7622933.566631, 583.520237,     "",     17-04-2022/07:13:47.0   ,       MEAS;
                109051971,      "161",  420483.965423,  7622960.872020, 584.234116,     "",     17-04-2022/07:14:28.0   ,       MEAS;
                109051972,      "162",  420484.032419,  7622960.899563, 584.147520,     "",     17-04-2022/07:14:38.0   ,       MEAS;
                109051973,      "163",  420483.637485,  7622984.070983, 584.832311,     "",     17-04-2022/07:15:18.0   ,       MEAS;
                109051974,      "164",  420483.666990,  7622984.069646, 584.696069,     "",     17-04-2022/07:15:39.0   ,       MEAS;
                109051975,      "165",  420475.105495,  7622986.710748, 585.142054,     "",     17-04-2022/07:16:11.0   ,       MEAS;
                109051976,      "166",  420475.083272,  7622986.733228, 585.072837,     "",     17-04-2022/07:16:28.0   ,       MEAS;
                109051977,      "167",  420471.525182,  7622962.126420, 584.546723,     "",     17-04-2022/07:18:17.0   ,       MEAS;
                109051978,      "168",  420471.588711,  7622962.128798, 584.479507,     "",     17-04-2022/07:18:33.0   ,       MEAS;
                109051979,      "169",  420466.785421,  7622937.492401, 584.096766,     "",     17-04-2022/07:19:30.0   ,       MEAS;
                109051980,      "170",  420466.774240,  7622937.613248, 584.049514,     "",     17-04-2022/07:19:40.0   ,       MEAS;
                109051981,      "171",  420462.192076,  7622912.996785, 583.669240,     "",     17-04-2022/07:20:22.0   ,       MEAS;
                109051982,      "172",  420462.191667,  7622913.048517, 583.619158,     "",     17-04-2022/07:20:33.0   ,       MEAS;
                109051983,      "173",  420457.390895,  7622888.719070, 583.532026,     "",     17-04-2022/07:22:25.0   ,       MEAS;
                109051984,      "174",  420457.420279,  7622888.738486, 583.442471,     "",     17-04-2022/07:22:36.0   ,       MEAS;
                109051985,      "175",  420532.424260,  7622843.633396, 582.245240,     "",     17-04-2022/07:33:28.0   ,       MEAS;
                109051908,      "101",  420476.000000,  7622893.000000, 586.000000,     "",     17-04-2022/06:13:34.0   ,       FIX;
                109051907,      "TS1",  420462.000000,  7622791.000000, 588.000000,     "",     17-04-2022/06:04:47.0   ,       FIX;
