EP3
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                92274693,       "101",  ,       ,       837.800969,     "",    16-04-2022/05:10:17.0    ,       MEAS;
                92274696,       "102",  404815.887924,  7616132.670006, 836.883495,     "",     16-04-2022/05:12:15.0   ,       MEAS;
                92274697,       "103",  404815.946196,  7616132.728119, 836.815970,     "",     16-04-2022/05:12:31.0   ,       MEAS;
                92274698,       "104",  404816.849505,  7616132.026839, 836.703933,     "",     16-04-2022/05:13:24.0   ,       MEAS;
                92274699,       "105",  404816.883618,  7616132.060507, 836.674427,     "",     16-04-2022/05:13:44.0   ,       MEAS;
                92274700,       "106",  404817.906334,  7616131.716829, 836.735732,     "",     16-04-2022/05:14:08.0   ,       MEAS;
                92274701,       "107",  404817.868959,  7616131.715508, 836.693616,     "",     16-04-2022/05:14:26.0   ,       MEAS;
                92274702,       "108",  404827.819965,  7616131.696007, 836.767637,     "",     16-04-2022/05:15:05.0   ,       MEAS;
                92274703,       "109",  404827.895048,  7616131.632489, 836.730316,     "",     16-04-2022/05:15:36.0   ,       MEAS;
                92274704,       "110",  404818.851832,  7616137.042887, 834.396464,     "",     16-04-2022/05:16:49.0   ,       MEAS;
                92274705,       "111",  404818.689408,  7616136.604199, 834.359540,     "",     16-04-2022/05:23:53.0   ,       MEAS;
                92274706,       "112",  404814.180611,  7616138.915568, 836.925136,     "",     16-04-2022/05:27:08.0   ,       MEAS;
                92274707,       "113",  404814.211964,  7616138.930611, 836.894799,     "",     16-04-2022/05:27:29.0   ,       MEAS;
                92274708,       "114",  404813.506056,  7616141.503280, 836.652234,     "",     16-04-2022/05:28:04.0   ,       MEAS;
                92274709,       "115",  404813.439322,  7616141.541646, 836.621218,     "",     16-04-2022/05:28:35.0   ,       MEAS;
                92274710,       "116",  404814.991976,  7616144.486490, 836.622147,     "",     16-04-2022/05:29:15.0   ,       MEAS;
                92274711,       "117",  404815.070293,  7616144.413732, 836.547867,     "",     16-04-2022/05:29:43.0   ,       MEAS;
                92274712,       "118",  404814.339360,  7616150.466639, 836.389404,     "",     16-04-2022/05:30:07.0   ,       MEAS;
                92274713,       "119",  404814.240574,  7616150.466125, 836.363906,     "",     16-04-2022/05:30:30.0   ,       MEAS;
                92274714,       "120",  404814.779510,  7616151.224977, 835.847878,     "",     16-04-2022/05:31:09.0   ,       MEAS;
                92274715,       "121",  404814.745167,  7616151.182398, 835.782057,     "",     16-04-2022/05:31:33.0   ,       MEAS;
                92274716,       "122",  404815.317102,  7616152.081304, 836.296389,     "",     16-04-2022/05:31:59.0   ,       MEAS;
                92274717,       "123",  404815.322473,  7616152.081900, 836.283527,     "",     16-04-2022/05:32:22.0   ,       MEAS;
                92274718,       "124",  404828.763717,  7616150.838616, 836.766173,     "",     16-04-2022/05:33:10.0   ,       MEAS;
                92274719,       "125",  404828.731847,  7616150.867355, 836.392256,     "",     16-04-2022/05:33:35.0   ,       MEAS;
