TP6
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                260046910,      "155",  412890.759770,  7619256.926441, 778.826142,     "",     29-04-2022/05:21:43.0   ,       MEAS;
                260046911,      "156",  412894.716380,  7619258.504636, 778.742889,     "",     29-04-2022/05:22:09.0   ,       MEAS;
                260046912,      "157",  412894.725398,  7619258.509624, 778.639187,     "",     29-04-2022/05:22:18.0   ,       MEAS;
                260046913,      "158",  412897.678987,  7619259.851840, 778.882695,     "",     29-04-2022/05:22:48.0   ,       MEAS;
                260046914,      "159",  412897.674529,  7619259.836414, 778.813930,     "",     29-04-2022/05:22:56.0   ,       MEAS;
                260046915,      "160",  412908.431070,  7619240.074655, 778.803707,     "",     29-04-2022/05:23:54.0   ,       MEAS;
                260046916,      "161",  412908.444361,  7619240.068873, 778.706731,     "",     29-04-2022/05:24:03.0   ,       MEAS;
                260046917,      "162",  412904.537855,  7619237.501083, 778.746821,     "",     29-04-2022/05:25:35.0   ,       MEAS;
                260046918,      "163",  412904.536680,  7619237.512765, 778.665973,     "",     29-04-2022/05:25:42.0   ,       MEAS;
                260046919,      "164",  412901.964455,  7619236.201802, 778.607849,     "",     29-04-2022/05:26:09.0   ,       MEAS;
                260046920,      "165",  412901.966222,  7619236.202344, 778.498049,     "",     29-04-2022/05:26:17.0   ,       MEAS;
                260046921,      "166",  412918.017043,  7619345.404307, 778.773288,     "",     29-04-2022/05:29:50.0   ,       MEAS;
                260046853,      "101",  412896.000000,  7619367.000000, 778.000000,     "",     29-04-2022/04:31:48.0   ,       FIX;
                260046851,      "TS1",  412889.000000,  7619329.000000, 780.000000,     "",     28-04-2022/09:52:18.0   ,       FIX;
                260046852,      "TS1",  412892.000000,  7619331.000000, 779.000000,     "",     29-04-2022/04:22:08.0   ,       FIX;
              
