HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP8"
                OPERATOR        "EF"
                CREATION_DATE   10-02-2021/04:29:01.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                411041850,      "152",  420556.004203,  7622385.079575, 578.318046,     "",     10-02-2021/05:31:34.0   ,       MEAS;
                411041851,      "153",  420556.012570,  7622385.109777, 578.114251,     "",     10-02-2021/05:31:45.0   ,       MEAS;
                411041852,      "154",  420558.260166,  7622383.544663, 578.577095,     "",     10-02-2021/05:32:00.0   ,       MEAS;
                411041853,      "155",  420558.272188,  7622383.663578, 578.282692,     "",     10-02-2021/05:32:11.0   ,       MEAS;
                411041854,      "156",  420564.003459,  7622380.144333, 578.376400,     "",     10-02-2021/05:32:32.0   ,       MEAS;
                411041855,      "157",  420563.936191,  7622380.249170, 578.151401,     "",     10-02-2021/05:32:55.0   ,       MEAS;
                411041856,      "158",  420568.006804,  7622377.950064, 578.229919,     "",     10-02-2021/05:33:13.0   ,       MEAS;
                411041857,      "159",  420568.017331,  7622377.911670, 577.921939,     "",     10-02-2021/05:33:30.0   ,       MEAS;
                411041858,      "160",  420570.970911,  7622376.180980, 578.625681,     "",     10-02-2021/05:33:56.0   ,       MEAS;
                411041859,      "161",  420570.973670,  7622376.176435, 578.199136,     "",     10-02-2021/05:34:08.0   ,       MEAS;
                411041860,      "162",  420559.048319,  7622354.903668, 578.843041,     "",     10-02-2021/05:35:37.0   ,       MEAS;
                411041861,      "163",  420559.049292,  7622354.935347, 578.445903,     "",     10-02-2021/05:35:53.0   ,       MEAS;
                411041862,      "164",  420555.340889,  7622356.859486, 578.918103,     "",     10-02-2021/05:36:30.0   ,       MEAS;
                411041863,      "165",  420555.347410,  7622356.903702, 578.625758,     "",     10-02-2021/05:36:41.0   ,       MEAS;
                411041864,      "166",  420549.934705,  7622359.734591, 578.740856,     "",     10-02-2021/05:37:00.0   ,       MEAS;
                411041865,      "167",  420549.941912,  7622359.780432, 578.342120,     "",     10-02-2021/05:37:15.0   ,       MEAS;
                411041866,      "168",  420542.980451,  7622363.884548, 578.701880,     "",     10-02-2021/05:37:38.0   ,       MEAS;
                411041867,      "169",  420542.958570,  7622363.804963, 578.182003,     "",     10-02-2021/05:37:58.0   ,       MEAS;
                411041868,      "170",  420540.896579,  7622365.131173, 578.753081,     "",     10-02-2021/05:38:13.0   ,       MEAS;
                411041869,      "171",  420540.934900,  7622365.183998, 578.357939,     "",     10-02-2021/05:38:26.0   ,       MEAS;
                411041870,      "172",  420526.051629,  7622345.870056, 579.583319,     "",     10-02-2021/05:39:17.0   ,       MEAS;
                411041871,      "173",  420525.833082,  7622345.479183, 579.432852,     "",     10-02-2021/05:39:37.0   ,       MEAS;
                411041872,      "174",  420528.147411,  7622343.993635, 579.468169,     "",     10-02-2021/05:40:05.0   ,       MEAS;
                411041873,      "175",  420528.202169,  7622344.053866, 579.379270,     "",     10-02-2021/05:40:20.0   ,       MEAS;
                411041874,      "176",  420535.773320,  7622338.900068, 579.412694,     "",     10-02-2021/05:40:48.0   ,       MEAS;
                411041875,      "177",  420535.763939,  7622338.900646, 579.252270,     "",     10-02-2021/05:41:01.0   ,       MEAS;
                411041876,      "178",  420542.184226,  7622334.443994, 579.427995,     "",     10-02-2021/05:41:20.0   ,       MEAS;
                411041877,      "179",  420542.199470,  7622334.533499, 579.238540,     "",     10-02-2021/05:41:32.0   ,       MEAS;
                411041878,      "180",  420545.928364,  7622331.902041, 579.416624,     "",     10-02-2021/05:41:45.0   ,       MEAS;
                411041879,      "181",  420545.928116,  7622331.996831, 579.028699,     "",     10-02-2021/05:41:56.0   ,       MEAS;
