IDEX


HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E7"
                OPERATOR        "MM"
                CREATION_DATE   01-08-2020/02:35:23.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                25165966,       "146",  419533.930521,  7624336.030236, 613.9731                                                                                        21,     "--",   01-08-2020/03:34:57.0   ,       MEAS;
                25165969,       "147",  419533.962483,  7624336.047493, 613.7586                                                                                        12,     "--",   01-08-2020/03:35:21.0   ,       MEAS;
                25165972,       "148",  419525.855358,  7624360.147519, 612.3210                                                                                        78,     "--",   01-08-2020/03:36:10.0   ,       MEAS;
                25165975,       "149",  419525.779182,  7624360.077619, 612.3034                                                                                        40,     "--",   01-08-2020/03:36:30.0   ,       MEAS;
                25165978,       "150",  419519.246785,  7624358.061569, 612.2836                                                                                        47,     "--",   01-08-2020/03:37:38.0   ,       MEAS;
                25165981,       "151",  419519.252523,  7624358.108727, 612.1885                                                                                        54,     "--",   01-08-2020/03:37:50.0   ,       MEAS;
                25165984,       "152",  419525.842428,  7624331.404026, 614.2028                                                                                        68,     "--",   01-08-2020/03:39:03.0   ,       MEAS;
                25165987,       "153",  419525.879554,  7624331.408008, 614.1350                                                                                        17,     "--",   01-08-2020/03:39:17.0   ,       MEAS;
                25165990,       "154",  419526.060845,  7624303.689528, 615.5476                                                                                        90,     "--",   01-08-2020/03:40:17.0   ,       MEAS;
                25165993,       "155",  419526.081397,  7624303.784626, 615.4417                                                                                        23,     "--",   01-08-2020/03:40:35.0   ,       MEAS;
                25165996,       "156",  419532.706490,  7624280.908150, 615.6461                                                                                        68,     "--",   01-08-2020/03:41:20.0   ,       MEAS;
                25165999,       "157",  419532.698117,  7624280.918177, 615.5948                                                                                        66,     "--",   01-08-2020/03:41:34.0   ,       MEAS;
                25166002,       "158",  419522.300493,  7624279.999990, 615.8418                                                                                        56,     "--",   01-08-2020/03:42:44.0   ,       MEAS;
                25166005,       "159",  419522.258872,  7624279.963816, 615.7834                                                                                        80,     "--",   01-08-2020/03:42:58.0   ,       MEAS;
                25166008,       "160",  419515.684240,  7624300.673898, 615.8399                                                                                        50,     "--",   01-08-2020/03:44:08.0   ,       MEAS;
                25166011,       "161",  419515.676862,  7624300.665260, 615.7090                                                                                        14,     "--",   01-08-2020/03:44:25.0   ,       MEAS;
                25166014,       "162",  419512.177084,  7624324.907649, 614.6616                                                                                        57,     "--",   01-08-2020/03:45:16.0   ,       MEAS;
                25166017,       "163",  419512.172714,  7624324.911220, 614.6152                                                                                        43,     "--",   01-08-2020/03:45:28.0   ,       MEAS;
                25166020,       "164",  419508.296676,  7624351.640250, 612.8798                                                                                        98,     "--",   01-08-2020/03:46:19.0   ,       MEAS;
                25166023,       "165",  419508.327161,  7624351.632171, 612.7878                                                                                        90,     "--",   01-08-2020/03:46:31.0   ,       MEAS;
                25166026,       "166",  419502.758345,  7624350.289592, 613.0308                                                                                        33,     "--",   01-08-2020/03:47:23.0   ,       MEAS;
                25166029,       "167",  419502.745736,  7624350.289880, 612.9168                                                                                        91,     "--",   01-08-2020/03:47:37.0   ,       MEAS;
                25166032,       "168",  419511.629918,  7624326.787021, 614.4531                                                                                        05,     "--",   01-08-2020/03:48:56.0   ,       MEAS;
                25166035,       "169",  419511.695001,  7624326.737270, 614.4005                                                                                        95,     "--",   01-08-2020/03:49:11.0   ,       MEAS;
                25166038,       "170",  419518.917640,  7624303.080544, 615.7210                                                                                        70,     "--",   01-08-2020/03:50:01.0   ,       MEAS;
                25166041,       "171",  419518.908911,  7624303.091099, 615.6096                                                                                        40,     "--",   01-08-2020/03:50:19.0   ,       MEAS;
                25166044,       "172",  419528.086683,  7624281.254201, 615.8595                                                                                        66,     "--",   01-08-2020/03:51:09.0   ,       MEAS;
                25166047,       "173",  419528.046596,  7624281.218155, 615.7835                                                                                        92,     "--",   01-08-2020/03:51:33.0   ,       MEAS;
                25166050,       "174",  419509.312234,  7624272.357060, 615.8453                                                                                        27,     "--",   01-08-2020/03:53:03.0   ,       MEAS;
                25166053,       "175",  419509.313161,  7624272.284134, 615.8427                                                                                        47,     "--",   01-08-2020/03:53:44.0   ,       MEAS;
                25166056,       "176",  419504.601220,  7624297.410913, 616.2683                                                                                        10,     "--",   01-08-2020/03:54:38.0   ,       MEAS;
                25166059,       "177",  419504.543827,  7624297.342916, 616.2088                                                                                        18,     "--",   01-08-2020/03:54:55.0   ,       MEAS;
                25166062,       "178",  419499.813971,  7624321.626049, 614.9369                                                                                        10,     "--",   01-08-2020/03:55:42.0   ,       MEAS;
                25166065,       "179",  419499.811671,  7624321.619395, 614.8965                                                                                        34,     "--",   01-08-2020/03:55:57.0   ,       MEAS;
                25166068,       "180",  419494.568024,  7624346.363984, 613.2964                                                                                        68,     "--",   01-08-2020/03:56:51.0   ,       MEAS;
                25166071,       "181",  419494.537862,  7624346.380242, 613.1492                                                                                        75,     "--",   01-08-2020/03:57:06.0   ,       MEAS;
                25166074,       "182",  419401.878965,  7624465.299467, 622.4999                                                                                        18,     "--",   01-08-2020/04:03:56.0   ,       MEAS;
                25166077,       "183",  419401.861280,  7624465.306063, 622.4739                                                                                        00,     "--",   01-08-2020/04:04:24.0   ,       MEAS;
                25166080,       "184",  419412.434421,  7624439.373071, 619.5709                                                                                        40,     "--",   01-08-2020/04:05:39.0   ,       MEAS;
                25166083,       "185",  419412.449945,  7624439.403869, 619.5253                                                                                        22,     "--",   01-08-2020/04:05:57.0   ,       MEAS;
                25166086,       "186",  419423.707102,  7624415.921103, 616.3973                                                                                        98,     "--",   01-08-2020/04:06:48.0   ,       MEAS;
                25166089,       "187",  419423.752804,  7624415.869673, 616.2294                                                                                        81,     "--",   01-08-2020/04:07:12.0   ,       MEAS;
                25166092,       "188",  419435.982556,  7624394.205880, 613.9228                                                                                        61,     "--",   01-08-2020/04:08:02.0   ,       MEAS;
                25166095,       "189",  419435.915412,  7624394.184992, 613.9349                                                                                        68,     "--",   01-08-2020/04:08:20.0   ,       MEAS;
                25166098,       "190",  419435.443265,  7624393.345128, 613.7527                                                                                        02,     "--",   01-08-2020/04:09:04.0   ,       MEAS;
                25166101,       "191",  419435.483565,  7624393.383660, 613.7071                                                                                        76,     "--",   01-08-2020/04:09:47.0   ,       MEAS;
                25166104,       "192",  419422.795830,  7624414.602453, 616.2361                                                                                        50,     "--",   01-08-2020/04:10:54.0   ,       MEAS;
