HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E13"
                OPERATOR        "SW"
                CREATION_DATE   24-04-2022/06:43:56.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                192938042,      "152",  426632.722817,  7665443.436371, 340.893208,     "",     24-04-2022/08:05:13.0   ,       MEAS;
                192938043,      "153",  426606.096009,  7665406.444895, 339.959173,     "",     24-04-2022/08:07:42.0   ,       MEAS;
                192938044,      "154",  426606.061953,  7665406.463970, 339.828137,     "",     24-04-2022/08:08:01.0   ,       MEAS;
                192938045,      "155",  426617.776725,  7665411.451116, 339.628113,     "",     24-04-2022/08:08:35.0   ,       MEAS;
                192938046,      "156",  426617.791344,  7665411.458856, 339.626824,     "",     24-04-2022/08:08:50.0   ,       MEAS;
                192938047,      "157",  426625.494813,  7665414.680485, 339.437317,     "",     24-04-2022/08:09:32.0   ,       MEAS;
                192938048,      "158",  426625.473996,  7665414.708769, 339.361628,     "",     24-04-2022/08:09:46.0   ,       MEAS;
                192938049,      "159",  426637.001110,  7665419.110919, 338.950521,     "",     24-04-2022/08:10:20.0   ,       MEAS;
                192938050,      "160",  426637.009003,  7665419.119481, 338.813745,     "",     24-04-2022/08:10:32.0   ,       MEAS;
                192938051,      "161",  426646.202998,  7665422.503148, 338.838026,     "",     24-04-2022/08:11:04.0   ,       MEAS;
                192938052,      "162",  426646.196788,  7665422.504573, 338.752358,     "",     24-04-2022/08:11:16.0   ,       MEAS;
                192938053,      "163",  426616.092427,  7665385.112457, 337.804931,     "",     24-04-2022/08:13:02.0   ,       MEAS;
                192938054,      "164",  426616.113154,  7665385.116510, 337.740826,     "",     24-04-2022/08:13:15.0   ,       MEAS;
                192938055,      "165",  426623.338703,  7665387.913687, 337.570446,     "",     24-04-2022/08:13:43.0   ,       MEAS;
                192938056,      "166",  426623.451732,  7665387.891943, 337.557845,     "",     24-04-2022/08:14:00.0   ,       MEAS;
                192938057,      "167",  426634.926305,  7665392.167470, 337.172623,     "",     24-04-2022/08:14:30.0   ,       MEAS;
                192938058,      "168",  426634.933142,  7665392.173703, 337.061753,     "",     24-04-2022/08:14:40.0   ,       MEAS;
                192938059,      "169",  426645.232289,  7665395.922555, 336.847865,     "",     24-04-2022/08:15:36.0   ,       MEAS;
                192938060,      "170",  426645.215095,  7665395.890739, 336.775078,     "",     24-04-2022/08:15:45.0   ,       MEAS;
                192938061,      "171",  426653.008070,  7665398.176199, 336.542491,     "",     24-04-2022/08:16:11.0   ,       MEAS;
                192938062,      "172",  426653.041029,  7665398.150393, 336.478717,     "",     24-04-2022/08:16:19.0   ,       MEAS;
                192938063,      "173",  426626.144216,  7665363.397447, 335.320946,     "",     24-04-2022/08:17:53.0   ,       MEAS;
                192938064,      "174",  426626.169245,  7665363.368553, 335.292853,     "",     24-04-2022/08:18:03.0   ,       MEAS;
                192938065,      "175",  426635.918479,  7665366.458299, 335.265039,     "",     24-04-2022/08:19:25.0   ,       MEAS;
                192938066,      "176",  426635.913629,  7665366.456248, 335.103087,     "",     24-04-2022/08:19:40.0   ,       MEAS;
                192938067,      "177",  426644.908350,  7665369.063652, 334.707887,     "",     24-04-2022/08:20:41.0   ,       MEAS;
                192938068,      "178",  426644.893075,  7665369.066999, 334.598690,     "",     24-04-2022/08:20:51.0   ,       MEAS;
                192938069,      "179",  426653.387715,  7665371.541142, 334.690362,     "",     24-04-2022/08:21:52.0   ,       MEAS;
                192938070,      "180",  426653.401738,  7665371.550114, 334.650751,     "",     24-04-2022/08:22:01.0   ,       MEAS;
                192938071,      "181",  426660.730904,  7665373.608218, 334.347278,     "",     24-04-2022/08:23:05.0   ,       MEAS;
                192938072,      "182",  426660.743885,  7665373.611868, 334.210229,     "",     24-04-2022/08:23:14.0   ,       MEAS;
                192938073,      "183",  426808.458809,  7665324.022142, 333.956510,     "",     24-04-2022/08:45:16.0   ,       MEAS;
                192938074,      "184",  426808.458606,  7665324.022243, 333.903428,     "",     24-04-2022/08:45:26.0   ,       MEAS;
                192938075,      "185",  426812.574238,  7665330.226323, 333.324769,     "",     24-04-2022/08:47:06.0   ,       MEAS;
                192938076,      "186",  426812.572248,  7665330.226171, 333.257168,     "",     24-04-2022/08:47:16.0   ,       MEAS;
