EADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E1"
                OPERATOR        "OO"
                CREATION_DATE   07-08-2020/06:34:21.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                142606394,      "152",  398091.583293,  7607150.161229, 877.133622,     "",     07-08-2020/08:57:09.0   ,       MEAS;
                142606395,      "153",  398091.591458,  7607150.156944, 877.125392,     "",     07-08-2020/08:57:22.0   ,       MEAS;
                142606396,      "154",  398068.836893,  7607142.737003, 878.365517,     "",     07-08-2020/08:58:14.0   ,       MEAS;
                142606397,      "155",  398068.830220,  7607142.737824, 878.341951,     "",     07-08-2020/08:58:28.0   ,       MEAS;
                142606398,      "156",  398043.321147,  7607136.894015, 879.492446,     "",     07-08-2020/08:59:23.0   ,       MEAS;
                142606399,      "157",  398043.295675,  7607136.964947, 879.372429,     "",     07-08-2020/08:59:39.0   ,       MEAS;
                142606400,      "158",  398042.544002,  7607139.276394, 879.445450,     "",     07-08-2020/09:01:13.0   ,       MEAS;
                142606401,      "159",  398042.536064,  7607139.271905, 879.345898,     "",     07-08-2020/09:01:34.0   ,       MEAS;
                142606402,      "160",  398066.562649,  7607147.592580, 878.196475,     "",     07-08-2020/09:03:22.0   ,       MEAS;
                142606403,      "161",  398066.549509,  7607147.574323, 878.185791,     "",     07-08-2020/09:03:33.0   ,       MEAS;
                142606404,      "162",  398091.172979,  7607155.045419, 876.904795,     "",     07-08-2020/09:04:31.0   ,       MEAS;
                142606405,      "163",  398091.183446,  7607155.049574, 876.895921,     "",     07-08-2020/09:04:42.0   ,       MEAS;
                142606406,      "164",  398114.378325,  7607162.043921, 875.957701,     "",     07-08-2020/09:05:36.0   ,       MEAS;
                142606407,      "165",  398114.364310,  7607162.093980, 875.901464,     "",     07-08-2020/09:05:53.0   ,       MEAS;
                142606408,      "166",  398112.644743,  7607167.433556, 875.691026,     "",     07-08-2020/09:07:33.0   ,       MEAS;
                142606409,      "167",  398112.651436,  7607167.427565, 875.691211,     "",     07-08-2020/09:07:40.0   ,       MEAS;
                142606410,      "168",  398112.700967,  7607167.412977, 875.659875,     "",     07-08-2020/09:07:55.0   ,       MEAS;
                142606411,      "169",  398088.230296,  7607161.341689, 876.707684,     "",     07-08-2020/09:10:13.0   ,       MEAS;
                142606412,      "170",  398088.237728,  7607161.337774, 876.684710,     "",     07-08-2020/09:10:22.0   ,       MEAS;
                142606413,      "171",  398064.753071,  7607153.667026, 877.922832,     "",     07-08-2020/09:11:12.0   ,       MEAS;
                142606414,      "172",  398064.737493,  7607153.671493, 877.912320,     "",     07-08-2020/09:11:35.0   ,       MEAS;
                142606415,      "173",  398040.669191,  7607147.398505, 879.176468,     "",     07-08-2020/09:12:41.0   ,       MEAS;
                142606416,      "174",  398040.642897,  7607147.403319, 879.158283,     "",     07-08-2020/09:12:54.0   ,       MEAS;
                142606417,      "175",  398039.569238,  7607149.432684, 878.535519,     "",     07-08-2020/09:14:25.0   ,       MEAS;
                142606418,      "176",  398039.615814,  7607149.394941, 878.404575,     "",     07-08-2020/09:14:38.0   ,       MEAS;
                142606419,      "177",  398063.950509,  7607157.920282, 877.451020,     "",     07-08-2020/09:17:03.0   ,       MEAS;
                142606420,      "178",  398063.936502,  7607157.926202, 877.448528,     "",     07-08-2020/09:17:14.0   ,       MEAS;
                142606421,      "179",  398087.795171,  7607162.411788, 876.430638,     "",     07-08-2020/09:18:49.0   ,       MEAS;
                142606422,      "180",  398087.765931,  7607162.401600, 876.420075,     "",     07-08-2020/09:19:00.0   ,       MEAS;
                142606423,      "181",  398112.455333,  7607169.555353, 875.435757,     "",     07-08-2020/09:20:43.0   ,       MEAS;
                142606424,      "182",  398112.446337,  7607169.535528, 875.399138,     "",     07-08-2020/09:20:55.0   ,       MEAS;
                142606425,      "183",  398243.729300,  7607195.344659, 883.427486,     "",     07-08-2020/09:37:45.0   ,       MEAS;
                142606426,      "184",  398243.730442,  7607195.356421, 883.412054,     "",     07-08-2020/09:38:03.0   ,       MEAS;
                142606427,      "185",  398219.531207,  7607190.604004, 881.133087,     "",     07-08-2020/09:40:12.0   ,       MEAS;
                142606428,      "186",  398219.538870,  7607190.605133, 881.121327,     "",     07-08-2020/09:40:25.0   ,       MEAS;
                142606429,      "187",  398195.270629,  7607184.418395, 879.182939,     "",     07-08-2020/09:41:16.0   ,       MEAS;
                142606430,      "188",  398195.280451,  7607184.418857, 879.169249,     "",     07-08-2020/09:41:28.0   ,       MEAS;
                142606431,      "189",  398170.916475,  7607179.121691, 877.690063,     "",     07-08-2020/09:42:18.0   ,       MEAS;
                142606432,      "190",  398170.899553,  7607179.094968, 877.686400,     "",     07-08-2020/09:42:30.0   ,       MEAS;
                142606433,      "191",  398171.841040,  7607174.865892, 877.608314,     "",     07-08-2020/09:47:50.0   ,       MEAS;
                142606434,      "192",  398171.840457,  7607174.845924, 877.594380,     "",     07-08-2020/09:48:00.0   ,       MEAS;
                142606435,      "193",  398196.541503,  7607180.050693, 879.071178,     "",     07-08-2020/09:49:49.0   ,       MEAS;
                142606436,      "194",  398196.533437,  7607180.043653, 879.071061,     "",     07-08-2020/09:50:02.0   ,       MEAS;
                142606437,      "195",  398220.161851,  7607185.537466, 880.932582,     "",     07-08-2020/09:50:56.0   ,       MEAS;
                142606438,      "196",  398220.108905,  7607185.500551, 880.910220,     "",     07-08-2020/09:51:11.0   ,       MEAS;
                142606439,      "197",  398244.969505,  7607188.628832, 883.341780,     "",     07-08-2020/09:52:06.0   ,       MEAS;
                142606440,      "198",  398244.963453,  7607188.638409, 883.287029,     "",     07-08-2020/09:52:19.0   ,       MEAS;
                142606441,      "199",  398244.281483,  7607191.034645, 883.430638,     "",     07-08-2020/09:55:08.0   ,       MEAS;
                142606442,      "200",  398244.224924,  7607191.051897, 883.388128,     "",     07-08-2020/09:55:20.0   ,       MEAS;
                142606443,      "201",  398221.065532,  7607185.187925, 881.061430,     "",     07-08-2020/09:57:07.0   ,       MEAS;
                142606444,      "202",  398221.087912,  7607185.160632, 881.010600,     "",     07-08-2020/09:57:17.0   ,       MEAS;
                142606445,      "203",  398196.143009,  7607181.088872, 879.071567,     "",     07-08-2020/09:58:05.0   ,       MEAS;
                142606446,      "204",  398196.175838,  7607181.067723, 879.059586,     "",     07-08-2020/09:58:17.0   ,       MEAS;
                142606447,      "205",  398171.738121,  7607175.437798, 877.631926,     "",     07-08-2020/09:59:04.0   ,       MEAS;
                142606448,      "206",  398171.774527,  7607175.434236, 877.586295,     "",     07-08-2020/09:59:19.0   ,       MEAS;
                142606449,      "207",  398170.659598,  7607182.581577, 877.689550,     "",     07-08-2020/10:01:15.0   ,       MEAS;
                142606450,      "208",  398170.694271,  7607182.576531, 877.625690,     "",     07-08-2020/10:01:31.0   ,       MEAS;
                142606451,      "209",  398194.738447,  7607187.534233, 879.139128,     "",     07-08-2020/10:03:34.0   ,       MEAS;
                142606452,      "210",  398194.739202,  7607187.577289, 879.107777,     "",     07-08-2020/10:03:44.0   ,       MEAS;
                142606453,      "211",  398218.467193,  7607193.279016, 881.021758,     "",     07-08-2020/10:04:33.0   ,       MEAS;
                142606454,      "212",  398218.451302,  7607193.280349, 880.983171,     "",     07-08-2020/10:04:47.0   ,       MEAS;
                142606455,      "213",  398242.947780,  7607198.750181, 883.501848,     "",     07-08-2020/10:05:47.0   ,       MEAS;
                142606456,      "214",  398242.953021,  7607198.803709, 883.448993,     "",     07-08-2020/10:06:00.0   ,       MEAS;
                142606457,      "215",  398241.789775,  7607203.218636, 883.454878,     "",     07-08-2020/10:07:22.0   ,       MEAS;
                142606458,      "216",  398241.775522,  7607203.230653, 883.415274,     "",     07-08-2020/10:07:34.0   ,       MEAS;
                142606459,      "217",  398218.200253,  7607196.916840, 880.938835,     "",     07-08-2020/10:10:17.0   ,       MEAS;
                142606460,      "218",  398218.177629,  7607196.888898, 880.908929,     "",     07-08-2020/10:10:33.0   ,       MEAS;
                142606461,      "219",  398193.475217,  7607189.796159, 879.136646,     "",     07-08-2020/10:12:41.0   ,       MEAS;
                142606462,      "220",  398193.487650,  7607189.845339, 879.069858,     "",     07-08-2020/10:12:52.0   ,       MEAS;
                142606463,      "221",  398169.049734,  7607186.883400, 877.594973,     "",     07-08-2020/10:14:44.0   ,       MEAS;
                142606464,      "222",  398169.067124,  7607186.878554, 877.458971,     "",     07-08-2020/10:15:00.0   ,       MEAS;
                142606465,      "223",  398143.159019,  7607159.886216, 875.589915,     "",     07-08-2020/10:17:41.0   ,       MEAS;
                142606466,      "224",  398265.378415,  7607153.961668, 883.411495,     "",     07-08-2020/10:26:08.0   ,       MEAS;
                142606467,      "225",  398265.349647,  7607153.992217, 883.315370,     "",     07-08-2020/10:26:26.0   ,       MEAS;
                142606468,      "226",  398242.473502,  7607145.099450, 881.025075,     "",     07-08-2020/10:28:21.0   ,       MEAS;
                142606469,      "227",  398242.459566,  7607145.117048, 881.016741,     "",     07-08-2020/10:28:35.0   ,       MEAS;
                142606470,      "228",  398219.168009,  7607135.492565, 879.186486,     "",     07-08-2020/10:29:35.0   ,       MEAS;
                142606471,      "229",  398219.172389,  7607135.485572, 879.168092,     "",     07-08-2020/10:29:47.0   ,       MEAS;
                142606472,      "230",  398196.299301,  7607125.404936, 877.651983,     "",     07-08-2020/10:30:55.0   ,       MEAS;
                142606473,      "231",  398196.302071,  7607125.347415, 877.535731,     "",     07-08-2020/10:31:06.0   ,       MEAS;
