3TP14
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                293601286,      "101",  ,       ,       511.364192,     "",    03-02-2021/23:39:40.0    ,       MEAS;
                293601289,      "102",  423145.472254,  7628816.596782, 512.118482,     "",     03-02-2021/23:58:32.0   ,       MEAS;
                293601290,      "103",  423145.539080,  7628816.596876, 511.352911,     "",     03-02-2021/23:59:37.0   ,       MEAS;
                293601291,      "104",  423147.025303,  7628816.183386, 511.520086,     "",     04-02-2021/00:00:23.0   ,       MEAS;
                293601292,      "105",  423146.939021,  7628816.332734, 511.051438,     "",     04-02-2021/00:01:23.0   ,       MEAS;
                293601293,      "106",  423148.186873,  7628816.366699, 512.089360,     "",     04-02-2021/00:01:59.0   ,       MEAS;
                293601294,      "107",  423148.020164,  7628816.332914, 511.083347,     "",     04-02-2021/00:03:22.0   ,       MEAS;
                293601295,      "108",  423147.695882,  7628818.861959, 511.932477,     "",     04-02-2021/00:04:43.0   ,       MEAS;
                293601296,      "109",  423147.844554,  7628818.717648, 511.332455,     "",     04-02-2021/00:05:06.0   ,       MEAS;
                293601297,      "110",  423143.389363,  7628822.384410, 511.880496,     "",     04-02-2021/00:05:53.0   ,       MEAS;
                293601298,      "111",  423143.449156,  7628822.224004, 511.267841,     "",     04-02-2021/00:06:13.0   ,       MEAS;
                293601299,      "112",  423138.494636,  7628828.302401, 511.898037,     "",     04-02-2021/00:06:58.0   ,       MEAS;
                293601300,      "113",  423138.394928,  7628828.313483, 511.333688,     "",     04-02-2021/00:07:13.0   ,       MEAS;
                293601301,      "114",  423152.706512,  7628820.432014, 511.791144,     "",     04-02-2021/00:08:05.0   ,       MEAS;
                293601302,      "115",  423152.631704,  7628820.393562, 511.198323,     "",     04-02-2021/00:08:25.0   ,       MEAS;
                293601303,      "116",  423152.585189,  7628820.163801, 511.646808,     "",     04-02-2021/00:09:17.0   ,       MEAS;
                293601304,      "117",  423152.615258,  7628820.171792, 511.123752,     "",     04-02-2021/00:09:33.0   ,       MEAS;
                293601305,      "118",  423152.770125,  7628819.977029, 511.810137,     "",     04-02-2021/00:10:03.0   ,       MEAS;
                293601306,      "119",  423152.675384,  7628819.823938, 511.181251,     "",     04-02-2021/00:10:27.0   ,       MEAS;
                293601307,      "120",  423161.299873,  7628849.598455, 511.276276,     "",     04-02-2021/00:12:32.0   ,       MEAS;
                293601308,      "121",  423161.247741,  7628849.754158, 510.630975,     "",     04-02-2021/00:12:57.0   ,       MEAS;
                293601309,      "122",  423161.829510,  7628849.177228, 511.258472,     "",     04-02-2021/00:13:21.0   ,       MEAS;
                293601310,      "123",  423161.848879,  7628849.367653, 510.304414,     "",     04-02-2021/00:14:24.0   ,       MEAS;
                293601311,      "124",  423161.941182,  7628848.635512, 511.325789,     "",     04-02-2021/00:15:00.0   ,       MEAS;
                293601312,      "125",  423162.036070,  7628848.735635, 510.328357,     "",     04-02-2021/00:16:07.0   ,       MEAS;
