3EP7
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                427819013,      "101",  ,       ,       611.536938,     "",    04-07-2022/07:11:40.0    ,       MEAS;
                427819016,      "102",  419456.383354,  7624483.195707, 619.001672,     "",     04-07-2022/07:14:31.0   ,       MEAS;
                427819017,      "103",  419456.381676,  7624483.200022, 618.760020,     "",     04-07-2022/07:14:42.0   ,       MEAS;
                427819018,      "104",  419460.704853,  7624484.107875, 618.808307,     "",     04-07-2022/07:15:06.0   ,       MEAS;
                427819019,      "105",  419460.727205,  7624484.010857, 618.605612,     "",     04-07-2022/07:15:25.0   ,       MEAS;
                427819020,      "106",  419483.028528,  7624488.398260, 618.709219,     "",     04-07-2022/07:16:44.0   ,       MEAS;
                427819021,      "107",  419483.029205,  7624488.521922, 618.851468,     "",     04-07-2022/07:18:09.0   ,       MEAS;
                427819022,      "108",  419492.770167,  7624490.222888, 618.883190,     "",     04-07-2022/07:18:51.0   ,       MEAS;
                427819023,      "109",  419492.779291,  7624490.265618, 618.715701,     "",     04-07-2022/07:19:29.0   ,       MEAS;
                427819024,      "110",  419503.108388,  7624492.464259, 618.752796,     "",     04-07-2022/07:20:07.0   ,       MEAS;
                427819025,      "111",  419503.139779,  7624492.477359, 618.292277,     "",     04-07-2022/07:20:36.0   ,       MEAS;
                427819026,      "112",  419506.111949,  7624465.962576, 616.199339,     "",     04-07-2022/07:21:44.0   ,       MEAS;
                427819027,      "113",  419506.079295,  7624465.875899, 615.896438,     "",     04-07-2022/07:22:10.0   ,       MEAS;
                427819028,      "114",  419495.104487,  7624464.837410, 616.476917,     "",     04-07-2022/07:24:55.0   ,       MEAS;
                427819029,      "115",  419495.084518,  7624464.827970, 616.192768,     "",     04-07-2022/07:25:17.0   ,       MEAS;
                427819030,      "116",  419485.722512,  7624463.877121, 616.899584,     "",     04-07-2022/07:26:13.0   ,       MEAS;
                427819031,      "117",  419485.760034,  7624463.767017, 616.625761,     "",     04-07-2022/07:26:34.0   ,       MEAS;
                427819032,      "118",  419466.943784,  7624461.267997, 617.100192,     "",     04-07-2022/07:27:08.0   ,       MEAS;
