3TP17
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                327155717,      "101",  ,       ,       338.374681,     "",    06-02-2021/05:22:28.0    ,       MEAS;
                327155720,      "102",  426473.869902,  7668988.679688, 339.646331,     "",     06-02-2021/05:24:46.0   ,       MEAS;
                327155721,      "103",  426473.891725,  7668988.649331, 339.005477,     "",     06-02-2021/05:25:04.0   ,       MEAS;
                327155722,      "104",  426467.615726,  7668983.591521, 339.965599,     "",     06-02-2021/05:25:56.0   ,       MEAS;
                327155723,      "105",  426467.663924,  7668983.469118, 339.449486,     "",     06-02-2021/05:26:12.0   ,       MEAS;
                327155724,      "106",  426457.742792,  7668976.647328, 340.743877,     "",     06-02-2021/05:27:04.0   ,       MEAS;
                327155725,      "107",  426457.731472,  7668976.633024, 340.332726,     "",     06-02-2021/05:27:19.0   ,       MEAS;
                327155726,      "108",  426443.656255,  7668995.695065, 340.829810,     "",     06-02-2021/05:28:30.0   ,       MEAS;
                327155727,      "109",  426443.739623,  7668995.522436, 340.546861,     "",     06-02-2021/05:28:45.0   ,       MEAS;
                327155728,      "110",  426451.234222,  7669002.685102, 340.613851,     "",     06-02-2021/05:29:30.0   ,       MEAS;
                327155729,      "111",  426451.175440,  7669002.641997, 340.268280,     "",     06-02-2021/05:29:48.0   ,       MEAS;
                327155730,      "112",  426460.920502,  7669011.121815, 340.326844,     "",     06-02-2021/05:30:29.0   ,       MEAS;
                327155731,      "113",  426460.804089,  7669011.168044, 340.167673,     "",     06-02-2021/05:30:51.0   ,       MEAS;
                327155732,      "114",  426443.777349,  7669028.087378, 340.329140,     "",     06-02-2021/05:32:01.0   ,       MEAS;
                327155733,      "115",  426443.827052,  7669028.030130, 339.865197,     "",     06-02-2021/05:32:15.0   ,       MEAS;
                327155734,      "116",  426436.272406,  7669022.480470, 340.679115,     "",     06-02-2021/05:32:54.0   ,       MEAS;
                327155735,      "117",  426436.249362,  7669022.520691, 340.336714,     "",     06-02-2021/05:33:15.0   ,       MEAS;
                327155736,      "118",  426428.574666,  7669016.594584, 340.570260,     "",     06-02-2021/05:33:37.0   ,       MEAS;
                327155737,      "119",  426428.561344,  7669016.627645, 340.096459,     "",     06-02-2021/05:33:59.0   ,       MEAS;
                327155738,      "120",  426414.084023,  7669036.891589, 340.244953,     "",     06-02-2021/05:35:39.0   ,       MEAS;
                327155739,      "121",  426414.098462,  7669036.787320, 339.971065,     "",     06-02-2021/05:35:52.0   ,       MEAS;
                327155740,      "122",  426419.751161,  7669041.050781, 340.173166,     "",     06-02-2021/05:36:17.0   ,       MEAS;
                327155741,      "123",  426419.774175,  7669041.025442, 339.948377,     "",     06-02-2021/05:36:39.0   ,       MEAS;
