3TP11
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                394264581,      "101",  ,       ,       587.188804,     "",    10-02-2021/02:37:54.0    ,       MEAS;
                394264584,      "102",  420278.961938,  7622827.357534, 592.518312,     "",     10-02-2021/02:41:04.0   ,       MEAS;
                394264585,      "103",  420278.940960,  7622827.478918, 592.284876,     "",     10-02-2021/02:41:15.0   ,       MEAS;
                394264586,      "104",  420283.372522,  7622823.104790, 592.679857,     "",     10-02-2021/02:41:33.0   ,       MEAS;
                394264587,      "105",  420283.308237,  7622823.031724, 592.413803,     "",     10-02-2021/02:41:45.0   ,       MEAS;
                394264588,      "106",  420284.793784,  7622821.793862, 592.686893,     "",     10-02-2021/02:42:00.0   ,       MEAS;
                394264589,      "107",  420284.820678,  7622821.863445, 592.334876,     "",     10-02-2021/02:42:15.0   ,       MEAS;
                394264590,      "108",  420271.555574,  7622802.684987, 592.416946,     "",     10-02-2021/02:42:52.0   ,       MEAS;
                394264591,      "109",  420271.410838,  7622802.574604, 592.148539,     "",     10-02-2021/02:43:10.0   ,       MEAS;
                394264592,      "110",  420269.831555,  7622804.286995, 592.297564,     "",     10-02-2021/02:43:28.0   ,       MEAS;
                394264593,      "111",  420269.893582,  7622804.268719, 592.076121,     "",     10-02-2021/02:43:55.0   ,       MEAS;
                394264594,      "112",  420266.080357,  7622807.919044, 592.306009,     "",     10-02-2021/02:44:15.0   ,       MEAS;
                394264595,      "113",  420265.899016,  7622807.936849, 592.000033,     "",     10-02-2021/02:44:41.0   ,       MEAS;
                394264596,      "114",  420250.561176,  7622784.498283, 591.817262,     "",     10-02-2021/02:45:18.0   ,       MEAS;
                394264597,      "115",  420250.630244,  7622784.606790, 591.328654,     "",     10-02-2021/02:45:29.0   ,       MEAS;
                394264598,      "116",  420253.962235,  7622782.177816, 591.835004,     "",     10-02-2021/02:45:50.0   ,       MEAS;
                394264599,      "117",  420254.017521,  7622782.312867, 591.340522,     "",     10-02-2021/02:46:08.0   ,       MEAS;
                394264600,      "118",  420256.808817,  7622780.457542, 591.938542,     "",     10-02-2021/02:46:32.0   ,       MEAS;
                394264601,      "119",  420256.814665,  7622780.478019, 591.455841,     "",     10-02-2021/02:46:41.0   ,       MEAS;
                394264602,      "120",  420244.163761,  7622760.503718, 590.558010,     "",     10-02-2021/02:49:16.0   ,       MEAS;
                394264603,      "121",  420243.825742,  7622760.732879, 590.472884,     "",     10-02-2021/02:49:46.0   ,       MEAS;
                394264604,      "122",  420240.423366,  7622762.501085, 590.149352,     "",     10-02-2021/02:50:22.0   ,       MEAS;
                394264605,      "123",  420240.467992,  7622762.361419, 589.862510,     "",     10-02-2021/02:50:48.0   ,       MEAS;
                394264606,      "124",  420237.256483,  7622764.521058, 590.149050,     "",     10-02-2021/02:51:21.0   ,       MEAS;
                394264607,      "125",  420237.236935,  7622764.678688, 590.031426,     "",     10-02-2021/02:51:41.0   ,       MEAS;
                394264608,      "126",  420195.713273,  7622707.332186, 587.858888,     "",     10-02-2021/02:53:51.0   ,       MEAS;
                394264609,      "127",  420195.716067,  7622707.388423, 587.614391,     "",     10-02-2021/02:54:06.0   ,       MEAS;
                394264610,      "128",  420198.454870,  7622704.839226, 587.937803,     "",     10-02-2021/02:54:28.0   ,       MEAS;
                394264611,      "129",  420198.487848,  7622704.930041, 587.658288,     "",     10-02-2021/02:54:44.0   ,       MEAS;
                394264612,      "130",  420200.994717,  7622702.744892, 587.822255,     "",     10-02-2021/02:55:09.0   ,       MEAS;
                394264613,      "131",  420200.988402,  7622702.700879, 587.551180,     "",     10-02-2021/02:55:27.0   ,       MEAS;
                394264614,      "132",  420184.182481,  7622683.482711, 587.966932,     "",     10-02-2021/02:56:26.0   ,       MEAS;
                394264615,      "133",  420184.209874,  7622683.530143, 587.522493,     "",     10-02-2021/02:56:41.0   ,       MEAS;
                394264616,      "134",  420182.030167,  7622685.365842, 587.842426,     "",     10-02-2021/02:57:06.0   ,       MEAS;
                394264617,      "135",  420181.988648,  7622685.416244, 587.438278,     "",     10-02-2021/02:57:20.0   ,       MEAS;
                394264618,      "136",  420179.033641,  7622687.956176, 587.926341,     "",     10-02-2021/02:57:39.0   ,       MEAS;
                394264619,      "137",  420179.032197,  7622687.952157, 587.652324,     "",     10-02-2021/02:58:06.0   ,       MEAS;
                394264620,      "138",  420162.961999,  7622668.374258, 588.736579,     "",     10-02-2021/02:59:36.0   ,       MEAS;
                394264621,      "139",  420163.056635,  7622668.466431, 588.476730,     "",     10-02-2021/03:00:03.0   ,       MEAS;
                394264622,      "140",  420170.505677,  7622662.576435, 588.879303,     "",     10-02-2021/03:00:43.0   ,       MEAS;
                394264623,      "141",  420170.490508,  7622662.623807, 588.634489,     "",     10-02-2021/03:01:07.0   ,       MEAS;
                394264624,      "142",  420173.379861,  7622660.678110, 588.919772,     "",     10-02-2021/03:01:41.0   ,       MEAS;
                394264625,      "143",  420173.270782,  7622660.553355, 588.699494,     "",     10-02-2021/03:01:59.0   ,       MEAS;
                394264626,      "144",  420159.505181,  7622639.336096, 589.897737,     "",     10-02-2021/03:02:42.0   ,       MEAS;
                394264627,      "145",  420159.799002,  7622638.901007, 589.670972,     "",     10-02-2021/03:03:14.0   ,       MEAS;
                394264628,      "146",  420155.971308,  7622641.190374, 590.003432,     "",     10-02-2021/03:03:40.0   ,       MEAS;
                394264629,      "147",  420156.131438,  7622641.342892, 589.564594,     "",     10-02-2021/03:04:08.0   ,       MEAS;
                394264630,      "148",  420145.822490,  7622647.462774, 589.933701,     "",     10-02-2021/03:04:45.0   ,       MEAS;
                394264631,      "149",  420145.784487,  7622647.437769, 589.681450,     "",     10-02-2021/03:05:01.0   ,       MEAS;
                394264632,      "150",  420162.572404,  7622617.954857, 592.029016,     "",     10-02-2021/03:08:44.0   ,       MEAS;
                394264633,      "151",  420162.468486,  7622617.589105, 591.598639,     "",     10-02-2021/03:09:15.0   ,       MEAS;
                394264634,      "152",  420164.801505,  7622614.556145, 592.257020,     "",     10-02-2021/03:09:33.0   ,       MEAS;
                394264635,      "153",  420164.678196,  7622614.570904, 592.094010,     "",     10-02-2021/03:09:59.0   ,       MEAS;
                394264636,      "154",  420164.609525,  7622614.531371, 591.922827,     "",     10-02-2021/03:11:34.0   ,       MEAS;
                394264637,      "155",  420169.023209,  7622609.960480, 592.232275,     "",     10-02-2021/03:12:23.0   ,       MEAS;
                394264638,      "156",  420169.012613,  7622609.954711, 592.098292,     "",     10-02-2021/03:12:39.0   ,       MEAS;
                394264639,      "157",  420184.892335,  7622627.831939, 589.751209,     "",     10-02-2021/03:13:33.0   ,       MEAS;
                394264640,      "158",  420184.926078,  7622628.093249, 589.524580,     "",     10-02-2021/03:13:58.0   ,       MEAS;
                394264641,      "159",  420181.774804,  7622631.462305, 589.650151,     "",     10-02-2021/03:14:34.0   ,       MEAS;
                394264642,      "160",  420181.943012,  7622631.465539, 589.602002,     "",     10-02-2021/03:15:11.0   ,       MEAS;
                394264643,      "161",  420178.708351,  7622634.874008, 589.865702,     "",     10-02-2021/03:15:36.0   ,       MEAS;
                394264644,      "162",  420178.723592,  7622634.923817, 589.505215,     "",     10-02-2021/03:16:04.0   ,       MEAS;
                394264645,      "163",  420195.982283,  7622651.679979, 588.454072,     "",     10-02-2021/03:16:54.0   ,       MEAS;
                394264646,      "164",  420196.091298,  7622651.782758, 588.235843,     "",     10-02-2021/03:17:17.0   ,       MEAS;
                394264647,      "165",  420198.547375,  7622649.349135, 588.357241,     "",     10-02-2021/03:18:15.0   ,       MEAS;
                394264648,      "166",  420198.465880,  7622649.320676, 588.106215,     "",     10-02-2021/03:18:32.0   ,       MEAS;
                394264649,      "167",  420201.159239,  7622646.506517, 588.538769,     "",     10-02-2021/03:19:06.0   ,       MEAS;
                394264650,      "168",  420201.395131,  7622646.541513, 587.983154,     "",     10-02-2021/03:19:45.0   ,       MEAS;
                394264651,      "169",  420217.895484,  7622664.965627, 587.417780,     "",     10-02-2021/03:20:35.0   ,       MEAS;
                394264652,      "170",  420217.895626,  7622665.007642, 587.102130,     "",     10-02-2021/03:20:49.0   ,       MEAS;
                394264653,      "171",  420216.140598,  7622666.954840, 587.350964,     "",     10-02-2021/03:21:34.0   ,       MEAS;
                394264654,      "172",  420216.163462,  7622666.819814, 587.079813,     "",     10-02-2021/03:21:52.0   ,       MEAS;
                394264655,      "173",  420213.507837,  7622669.654154, 587.084604,     "",     10-02-2021/03:22:58.0   ,       MEAS;
                394264656,      "174",  420241.603710,  7622701.089839, 587.451442,     "",     10-02-2021/03:25:12.0   ,       MEAS;
                394264580,      "101",  420243.000000,  7622729.000000, 589.000000,     "",     10-02-2021/02:37:54.0   ,       FIX;
                394264579,      "TS2",  420250.000000,  7622764.000000, 592.000000,     "",     10-02-2021/02:21:54.0   ,       FIX;
