3TP6
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                511705093,      "101",  ,       ,       770.952615,     "",    08-07-2022/10:02:11.0    ,       MEAS;
                511705096,      "102",  412800.080017,  7619390.913605, 771.650722,     "",     08-07-2022/10:03:14.0   ,       MEAS;
                511705097,      "103",  412799.910763,  7619391.006665, 771.342819,     "",     08-07-2022/10:03:24.0   ,       MEAS;
                511705098,      "104",  412814.734771,  7619401.785316, 771.474753,     "",     08-07-2022/10:03:53.0   ,       MEAS;
                511705099,      "105",  412814.736217,  7619401.786809, 771.185577,     "",     08-07-2022/10:04:10.0   ,       MEAS;
                511705100,      "106",  412820.058488,  7619405.030337, 771.502388,     "",     08-07-2022/10:04:32.0   ,       MEAS;
                511705101,      "107",  412819.927420,  7619405.121251, 771.225812,     "",     08-07-2022/10:04:43.0   ,       MEAS;
                511705102,      "108",  412830.148609,  7619388.061353, 771.325390,     "",     08-07-2022/10:05:19.0   ,       MEAS;
                511705103,      "109",  412830.164721,  7619388.050641, 771.037808,     "",     08-07-2022/10:05:35.0   ,       MEAS;
                511705104,      "110",  412806.563197,  7619428.147513, 771.891099,     "",     08-07-2022/10:07:11.0   ,       MEAS;
                511705105,      "111",  412806.494930,  7619428.224651, 771.567560,     "",     08-07-2022/10:07:25.0   ,       MEAS;
                511705106,      "112",  412801.126885,  7619424.371964, 771.878207,     "",     08-07-2022/10:07:57.0   ,       MEAS;
                511705107,      "113",  412801.139288,  7619424.337298, 771.722141,     "",     08-07-2022/10:08:09.0   ,       MEAS;
                511705108,      "114",  412783.258103,  7619414.067381, 772.085930,     "",     08-07-2022/10:08:44.0   ,       MEAS;
                511705109,      "115",  412783.296706,  7619414.020187, 771.698093,     "",     08-07-2022/10:09:02.0   ,       MEAS;
                511705110,      "116",  412825.908633,  7619383.635759, 771.252606,     "",     08-07-2022/10:10:51.0   ,       MEAS;
                511705111,      "117",  412825.893045,  7619383.723151, 770.834619,     "",     08-07-2022/10:11:05.0   ,       MEAS;
                511705112,      "118",  412813.686780,  7619372.639339, 771.334107,     "",     08-07-2022/10:11:42.0   ,       MEAS;
                511705113,      "119",  412813.760968,  7619372.553434, 771.076747,     "",     08-07-2022/10:11:52.0   ,       MEAS;
                511705114,      "120",  412826.928787,  7619353.945396, 771.211786,     "",     08-07-2022/10:12:30.0   ,       MEAS;
                511705115,      "121",  412826.988643,  7619354.000240, 770.903971,     "",     08-07-2022/10:12:42.0   ,       MEAS;
                511705116,      "122",  412839.627241,  7619360.840007, 771.130705,     "",     08-07-2022/10:13:15.0   ,       MEAS;
                511705117,      "123",  412839.704530,  7619360.786367, 770.808113,     "",     08-07-2022/10:13:30.0   ,       MEAS;
                511705118,      "124",  412845.036705,  7619363.605602, 771.099822,     "",     08-07-2022/10:13:50.0   ,       MEAS;
                511705119,      "125",  412844.970828,  7619363.633421, 770.880581,     "",     08-07-2022/10:14:03.0   ,       MEAS;
                511705120,      "126",  412856.464484,  7619323.553709, 770.632769,     "",     08-07-2022/10:17:51.0   ,       MEAS;
                511705121,      "127",  412856.397198,  7619323.538906, 770.158122,     "",     08-07-2022/10:18:18.0   ,       MEAS;
                511705122,      "128",  412857.127230,  7619323.048373, 770.400406,     "",     08-07-2022/10:18:47.0   ,       MEAS;
                511705123,      "129",  412857.146770,  7619323.095640, 770.076428,     "",     08-07-2022/10:19:02.0   ,       MEAS;
                511705124,      "130",  412857.986177,  7619322.592458, 770.556562,     "",     08-07-2022/10:19:29.0   ,       MEAS;
                511705125,      "131",  412857.960933,  7619322.626102, 770.193663,     "",     08-07-2022/10:19:43.0   ,       MEAS;
                511705126,      "132",  412859.577874,  7619324.691867, 770.476926,     "",     08-07-2022/10:20:08.0   ,       MEAS;
                511705127,      "133",  412859.554814,  7619324.617640, 770.126345,     "",     08-07-2022/10:20:27.0   ,       MEAS;
                511705128,      "134",  412856.672498,  7619334.746210, 770.122063,     "",     08-07-2022/10:21:16.0   ,       MEAS;
                511705129,      "135",  412856.616432,  7619334.504889, 769.642738,     "",     08-07-2022/10:21:43.0   ,       MEAS;
                511705130,      "136",  412854.005806,  7619341.068180, 770.428832,     "",     08-07-2022/10:22:29.0   ,       MEAS;
                511705131,      "137",  412854.032298,  7619341.042595, 770.127589,     "",     08-07-2022/10:22:44.0   ,       MEAS;
                511705132,      "138",  412858.522007,  7619336.500471, 770.430275,     "",     08-07-2022/10:23:58.0   ,       MEAS;
                511705133,      "139",  412858.576274,  7619336.524741, 769.871511,     "",     08-07-2022/10:24:14.0   ,       MEAS;
                511705134,      "140",  412858.788510,  7619336.151977, 770.210307,     "",     08-07-2022/10:24:35.0   ,       MEAS;
                511705135,      "141",  412858.682933,  7619336.149679, 769.845661,     "",     08-07-2022/10:24:45.0   ,       MEAS;
                511705136,      "142",  412858.833453,  7619335.497015, 770.461695,     "",     08-07-2022/10:25:20.0   ,       MEAS;
                511705137,      "143",  412858.845204,  7619335.477144, 769.955531,     "",     08-07-2022/10:25:37.0   ,       MEAS;
                511705138,      "144",  412907.491144,  7619364.159570, 770.244555,     "",     08-07-2022/10:27:07.0   ,       MEAS;
                511705139,      "145",  412907.528524,  7619364.192558, 769.828670,     "",     08-07-2022/10:27:20.0   ,       MEAS;
                511705140,      "146",  412907.728892,  7619363.179030, 769.970705,     "",     08-07-2022/10:27:53.0   ,       MEAS;
                511705141,      "147",  412907.770606,  7619363.175401, 769.692776,     "",     08-07-2022/10:28:04.0   ,       MEAS;
                511705142,      "148",  412908.432218,  7619362.522540, 770.236527,     "",     08-07-2022/10:28:28.0   ,       MEAS;
                511705143,      "149",  412908.358866,  7619362.446260, 769.799531,     "",     08-07-2022/10:28:44.0   ,       MEAS;
                511705144,      "150",  412912.753065,  7619361.234722, 770.317165,     "",     08-07-2022/10:29:09.0   ,       MEAS;
                511705145,      "151",  412912.697297,  7619361.217859, 769.922017,     "",     08-07-2022/10:29:22.0   ,       MEAS;
                511705146,      "152",  412914.588693,  7619363.306786, 770.237551,     "",     08-07-2022/10:30:02.0   ,       MEAS;
                511705147,      "153",  412914.585745,  7619363.423870, 769.821377,     "",     08-07-2022/10:30:13.0   ,       MEAS;
                511705148,      "154",  412914.455303,  7619363.623974, 770.063522,     "",     08-07-2022/10:30:40.0   ,       MEAS;
                511705149,      "155",  412914.449486,  7619363.635000, 769.740459,     "",     08-07-2022/10:30:51.0   ,       MEAS;
                511705150,      "156",  412914.398157,  7619364.207153, 770.325624,     "",     08-07-2022/10:31:11.0   ,       MEAS;
                511705151,      "157",  412914.343227,  7619364.179712, 769.847494,     "",     08-07-2022/10:31:20.0   ,       MEAS;
                511705152,      "158",  412909.593158,  7619366.341850, 770.322857,     "",     08-07-2022/10:31:52.0   ,       MEAS;
                511705153,      "159",  412909.687953,  7619366.286928, 769.996317,     "",     08-07-2022/10:32:02.0   ,       MEAS;
                511705154,      "160",  412911.949962,  7619363.311042, 769.416301,     "",     08-07-2022/10:37:28.0   ,       MEAS;
                511705155,      "161",  412912.131399,  7619363.278806, 769.353312,     "",     08-07-2022/10:37:43.0   ,       MEAS;
                511705156,      "162",  412865.908486,  7619346.235374, 770.791761,     "",     08-07-2022/10:46:45.0   ,       MEAS;
                511705092,      "101",  412868.000000,  7619329.000000, 777.000000,     "",     08-07-2022/10:02:11.0   ,       FIX;
                511705091,      "TS1",  412880.000000,  7619346.000000, 771.000000,     "",     08-07-2022/09:50:43.0   ,       FIX;
