HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP12"
                OPERATOR        "EF"
                CREATION_DATE   06-07-2022/08:09:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                444596282,      "152",  427413.669663,  7663160.288061, 351.191181,     "",     06-07-2022/09:39:08.0   ,       MEAS;
                444596283,      "153",  427413.714712,  7663160.397307, 350.870722,     "",     06-07-2022/09:39:18.0   ,       MEAS;
                444596284,      "154",  427419.156248,  7663163.400354, 351.124865,     "",     06-07-2022/09:39:52.0   ,       MEAS;
                444596285,      "155",  427418.939257,  7663163.457589, 350.516392,     "",     06-07-2022/09:40:29.0   ,       MEAS;
                444596286,      "156",  427428.045713,  7663168.257554, 350.764590,     "",     06-07-2022/09:41:25.0   ,       MEAS;
                444596287,      "157",  427427.964877,  7663168.281949, 350.713575,     "",     06-07-2022/09:41:38.0   ,       MEAS;
                444596288,      "158",  427436.017724,  7663173.488128, 350.792778,     "",     06-07-2022/09:42:11.0   ,       MEAS;
                444596289,      "159",  427435.954820,  7663173.536758, 350.383834,     "",     06-07-2022/09:42:28.0   ,       MEAS;
                444596290,      "160",  427442.615382,  7663178.296570, 350.834693,     "",     06-07-2022/09:43:16.0   ,       MEAS;
                444596291,      "161",  427442.599496,  7663178.250934, 350.770784,     "",     06-07-2022/09:43:35.0   ,       MEAS;
                444596292,      "162",  427454.767441,  7663156.745543, 352.101010,     "",     06-07-2022/09:47:33.0   ,       MEAS;
                444596293,      "163",  427454.676845,  7663156.768821, 351.938132,     "",     06-07-2022/09:47:55.0   ,       MEAS;
                444596294,      "164",  427448.668537,  7663153.161520, 352.282764,     "",     06-07-2022/09:48:38.0   ,       MEAS;
                444596295,      "165",  427448.618659,  7663153.126253, 352.054547,     "",     06-07-2022/09:48:52.0   ,       MEAS;
                444596296,      "166",  427440.753518,  7663147.502315, 352.467934,     "",     06-07-2022/09:49:33.0   ,       MEAS;
                444596297,      "167",  427440.676030,  7663147.542693, 352.081096,     "",     06-07-2022/09:50:44.0   ,       MEAS;
                444596298,      "168",  427430.353424,  7663143.265646, 352.394238,     "",     06-07-2022/09:51:23.0   ,       MEAS;
                444596299,      "169",  427430.311963,  7663143.233805, 352.108599,     "",     06-07-2022/09:51:41.0   ,       MEAS;
                444596300,      "170",  427425.598808,  7663140.743849, 352.386416,     "",     06-07-2022/09:52:05.0   ,       MEAS;
                444596301,      "171",  427425.595051,  7663140.840150, 352.038665,     "",     06-07-2022/09:52:17.0   ,       MEAS;
                444596302,      "172",  427444.801641,  7663112.653769, 355.027109,     "",     06-07-2022/09:53:28.0   ,       MEAS;
                444596303,      "173",  427444.797735,  7663112.722509, 354.660865,     "",     06-07-2022/09:53:42.0   ,       MEAS;
                444596304,      "174",  427447.543944,  7663114.543473, 354.743099,     "",     06-07-2022/09:54:11.0   ,       MEAS;
                444596305,      "175",  427447.492466,  7663114.729527, 354.490365,     "",     06-07-2022/09:54:22.0   ,       MEAS;
                444596306,      "176",  427454.656314,  7663120.104085, 354.822720,     "",     06-07-2022/09:54:49.0   ,       MEAS;
                444596307,      "177",  427454.548014,  7663119.991721, 354.243528,     "",     06-07-2022/09:55:02.0   ,       MEAS;
                444596308,      "178",  427465.932195,  7663125.627612, 355.105093,     "",     06-07-2022/09:55:38.0   ,       MEAS;
                444596309,      "179",  427465.874299,  7663125.771497, 354.724109,     "",     06-07-2022/09:55:56.0   ,       MEAS;
                444596310,      "180",  427468.402654,  7663130.865213, 354.668466,     "",     06-07-2022/09:58:16.0   ,       MEAS;
                444596311,      "181",  427468.143875,  7663130.932346, 354.667086,     "",     06-07-2022/09:59:37.0   ,       MEAS;
